AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,4.0,8.0,3.0,1.0,10.0,5.0,9.0,5.0,2.0,2.0,3.0,5.0,1.0,1,Rangers,Home
31.0,2.0,5.0,2.0,3.0,5.0,10.0,8.0,8.0,4.0,4.0,1.0,10.0,2.0,0,Indians,Away
37.0,4.0,10.0,4.0,8.0,14.0,23.0,10.0,7.0,6.0,6.0,9.0,11.0,2.0,0,D-backs,Home
33.0,6.0,7.0,6.0,9.0,11.0,15.0,10.0,10.0,4.0,4.0,8.0,14.0,1.0,1,Rockies,Away
30.0,7.0,10.0,7.0,5.0,2.0,12.0,9.0,9.0,4.0,4.0,5.0,7.0,2.0,1,Nationals,Home
33.0,4.0,9.0,4.0,5.0,7.0,9.0,8.0,10.0,7.0,7.0,5.0,2.0,3.0,0,Phillies,Away
36.0,10.0,12.0,10.0,5.0,10.0,15.0,9.0,12.0,6.0,6.0,2.0,7.0,4.0,1,Yankees,Home
39.0,6.0,12.0,6.0,2.0,7.0,16.0,8.0,12.0,10.0,10.0,5.0,10.0,4.0,0,Astros,Away
36.0,7.0,12.0,7.0,6.0,12.0,18.0,10.0,12.0,5.0,5.0,3.0,8.0,1.0,1,Blue,Home
40.0,5.0,12.0,5.0,3.0,8.0,21.0,9.0,12.0,7.0,7.0,6.0,12.0,4.0,0,Angels,Away
48.0,6.0,16.0,6.0,2.0,9.0,21.0,11.0,11.0,7.0,6.0,3.0,11.0,2.0,0,Cardinals,Home
42.0,7.0,11.0,7.0,3.0,11.0,15.0,11.0,16.0,6.0,6.0,2.0,9.0,1.0,1,Marlins,Away
30.0,7.0,7.0,6.0,5.0,11.0,11.0,9.0,7.0,4.0,3.0,3.0,8.0,2.0,1,Cubs,Home
32.0,4.0,7.0,3.0,3.0,8.0,14.0,8.0,7.0,7.0,7.0,5.0,11.0,1.0,0,Mets,Away
30.0,1.0,5.0,1.0,1.0,7.0,10.0,9.0,10.0,7.0,7.0,4.0,9.0,2.0,0,Brewers,Home
36.0,7.0,10.0,7.0,4.0,9.0,20.0,9.0,5.0,1.0,1.0,1.0,7.0,1.0,1,Reds,Away
31.0,4.0,10.0,4.0,1.0,3.0,15.0,9.0,5.0,1.0,1.0,1.0,5.0,1.0,1,Royals,Home
32.0,1.0,5.0,1.0,1.0,5.0,8.0,8.0,10.0,4.0,4.0,1.0,3.0,0.0,0,Twins,Away
32.0,5.0,7.0,5.0,6.0,9.0,16.0,9.0,6.0,4.0,4.0,2.0,10.0,1.0,1,Athletics,Home
33.0,4.0,6.0,4.0,2.0,10.0,11.0,8.2,7.0,5.0,5.0,6.0,9.0,2.0,0,Rays,Away
38.0,9.0,16.0,9.0,2.0,8.0,20.0,9.0,9.0,8.0,5.0,3.0,11.0,1.0,1,Dodgers,Home
36.0,8.0,9.0,8.0,3.0,11.0,13.0,8.0,16.0,9.0,9.0,2.0,8.0,3.0,0,Giants,Away
33.0,5.0,9.0,5.0,4.0,15.0,19.0,9.0,4.0,2.0,2.0,5.0,11.0,0.0,1,Mariners,Home
30.0,2.0,4.0,2.0,5.0,11.0,16.0,8.0,9.0,5.0,5.0,4.0,15.0,2.0,0,Orioles,Away
