AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
35.0,7.0,12.0,6.0,5.0,8.0,15.0,9.0,11.0,6.0,6.0,2.0,10.0,1.0,1,Nationals,Home
38.0,6.0,11.0,6.0,2.0,10.0,17.0,8.0,12.0,7.0,7.0,5.0,8.0,1.0,0,Mets,Away
31.0,3.0,4.0,3.0,1.0,7.0,8.0,9.0,13.0,11.0,11.0,7.0,14.0,4.0,0,Phillies,Home
39.0,11.0,13.0,11.0,7.0,14.0,28.0,9.0,4.0,3.0,1.0,1.0,7.0,1.0,1,Brewers,Away
33.0,3.0,7.0,3.0,2.0,9.0,12.0,9.0,16.0,17.0,12.0,5.0,8.0,5.0,0,Tigers,Home
44.0,17.0,16.0,16.0,5.0,8.0,20.0,9.0,7.0,3.0,3.0,2.0,9.0,1.0,1,Athletics,Away
32.0,1.0,9.0,1.0,2.0,6.0,17.0,9.0,21.0,16.0,15.0,8.0,6.0,5.0,0,Royals,Home
47.0,16.0,21.0,14.0,8.0,6.0,29.0,9.0,9.0,1.0,1.0,2.0,6.0,0.0,1,Rangers,Away
37.0,14.0,14.0,13.0,8.0,6.0,22.0,9.0,10.0,7.0,7.0,4.0,6.0,2.0,1,Indians,Home
36.0,7.0,10.0,7.0,4.0,6.0,15.0,8.0,14.0,14.0,14.0,8.0,6.0,2.0,0,Orioles,Away
35.0,4.0,12.0,3.0,3.0,5.0,18.0,9.0,4.0,2.0,2.0,1.0,13.0,0.0,1,Reds,Home
31.0,2.0,4.0,2.0,1.0,13.0,4.0,8.0,12.0,4.0,4.0,3.0,5.0,1.0,0,Cubs,Away
34.0,10.0,14.0,10.0,6.0,4.0,13.0,9.0,6.0,2.0,2.0,4.0,6.0,2.0,1,Braves,Home
31.0,2.0,6.0,2.0,4.0,6.0,13.0,8.0,14.0,10.0,10.0,6.0,4.0,1.0,0,Cardinals,Away
33.0,4.0,10.0,4.0,3.0,9.0,22.0,9.0,2.0,2.0,1.0,4.0,3.0,1.0,1,White,Home
29.0,2.0,2.0,1.0,4.0,3.0,10.0,8.0,10.0,4.0,3.0,3.0,9.0,0.0,0,Blue,Away
26.0,4.0,5.0,4.0,3.0,9.0,10.0,9.0,8.0,3.0,2.0,1.0,6.0,1.0,1,Padres,Home
37.0,3.0,8.0,2.0,1.0,6.0,14.0,8.0,5.0,4.0,4.0,3.0,9.0,2.0,0,Pirates,Away
35.0,6.0,8.0,6.0,0.0,7.0,6.0,9.0,16.0,11.0,10.0,1.0,10.0,4.0,0,Mariners,Home
43.0,11.0,16.0,10.0,1.0,10.0,15.0,9.0,8.0,6.0,6.0,0.0,7.0,4.0,1,Twins,Away
