AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
35.0,6.0,10.0,6.0,3.0,2.0,13.0,9.0,12.0,7.0,7.0,4.0,8.0,2.0,0,Orioles,Home
35.0,7.0,12.0,7.0,4.0,8.0,13.0,9.0,10.0,6.0,6.0,3.0,2.0,3.0,1,Rangers,Away
34.0,9.0,12.0,9.0,6.0,11.0,16.0,9.0,9.0,4.0,4.0,4.0,6.0,2.0,1,Pirates,Home
35.0,4.0,9.0,4.0,4.0,6.0,14.0,8.0,12.0,9.0,9.0,6.0,11.0,0.0,0,Cardinals,Away
28.0,6.0,6.0,6.0,7.0,8.0,13.0,9.0,3.0,1.0,1.0,3.0,13.0,1.0,1,Red,Home
29.0,1.0,3.0,1.0,3.0,13.0,5.0,8.0,6.0,6.0,6.0,7.0,8.0,1.0,0,Yankees,Away
34.0,5.0,7.0,5.0,9.0,13.0,24.0,9.0,12.0,7.0,7.0,4.0,9.0,2.0,0,Reds,Home
37.0,7.0,12.0,7.0,4.0,9.0,16.0,9.0,7.0,5.0,5.0,9.0,13.0,1.0,1,D-backs,Away
32.0,5.0,10.0,5.0,3.0,9.0,9.0,9.0,9.0,4.0,4.0,4.0,11.0,1.0,1,Mets,Home
35.0,4.0,9.0,4.0,4.0,11.0,16.0,8.2,10.0,5.0,5.0,3.0,9.0,1.0,0,Phillies,Away
32.0,5.0,9.0,4.0,0.0,6.0,12.0,9.0,2.0,0.0,0.0,2.0,13.0,0.0,1,Rays,Home
29.0,0.0,2.0,0.0,2.0,13.0,10.0,8.0,9.0,5.0,3.0,0.0,6.0,1.0,0,Blue,Away
33.0,0.0,7.0,0.0,0.0,8.0,7.0,9.0,9.0,3.0,3.0,4.0,9.0,1.0,0,Marlins,Home
33.0,3.0,9.0,3.0,4.0,9.0,20.0,9.0,7.0,0.0,0.0,0.0,8.0,0.0,1,Royals,Away
28.0,4.0,7.0,4.0,7.0,11.0,14.0,9.0,9.0,3.0,3.0,2.0,8.0,1.0,1,Braves,Home
35.0,3.0,9.0,3.0,2.0,8.0,19.0,8.0,7.0,4.0,3.0,7.0,11.0,2.0,0,Nationals,Away
33.0,7.0,9.0,5.0,4.0,7.0,19.0,9.0,4.0,4.0,4.0,7.0,11.0,1.0,1,Astros,Home
31.0,4.0,4.0,4.0,7.0,11.0,17.0,8.0,9.0,7.0,6.0,4.0,7.0,1.0,0,Mariners,Away
41.0,2.0,9.0,2.0,2.0,14.0,15.0,11.0,10.0,6.0,6.0,6.0,13.0,1.0,0,Twins,Home
41.0,6.0,10.0,6.0,6.0,13.0,14.0,11.0,9.0,2.0,2.0,2.0,14.0,0.0,1,Indians,Away
31.0,4.0,6.0,4.0,4.0,8.0,9.0,9.0,5.0,5.0,5.0,2.0,8.0,3.0,0,White,Home
32.0,5.0,5.0,5.0,2.0,8.0,5.0,9.0,6.0,4.0,4.0,4.0,8.0,1.0,1,Angels,Away
33.0,7.0,10.0,7.0,7.0,7.0,22.0,9.0,3.0,1.0,1.0,2.0,7.0,1.0,1,Brewers,Home
29.0,1.0,3.0,1.0,2.0,7.0,6.0,8.0,10.0,7.0,6.0,7.0,7.0,2.0,0,Cubs,Away
30.0,3.0,5.0,2.0,3.0,9.0,8.0,9.0,12.0,7.0,7.0,4.0,7.0,1.0,0,Tigers,Home
37.0,7.0,12.0,7.0,4.0,7.0,13.0,9.0,5.0,3.0,3.0,3.0,9.0,1.0,1,Athletics,Away
38.0,4.0,6.0,4.0,7.0,15.0,19.0,11.0,11.0,5.0,5.0,1.0,7.0,1.0,0,Athletics,Home
42.0,5.0,11.0,5.0,1.0,7.0,11.0,11.0,6.0,4.0,4.0,7.0,15.0,0.0,1,Tigers,Away
33.0,4.0,6.0,4.0,2.0,8.0,9.0,9.0,9.0,5.0,5.0,5.0,12.0,1.0,0,Dodgers,Home
35.0,5.0,9.0,5.0,5.0,12.0,22.0,9.0,6.0,4.0,4.0,2.0,8.0,3.0,1,Giants,Away
31.0,2.0,5.0,2.0,4.0,10.0,15.0,9.0,7.0,3.0,1.0,2.0,7.0,0.0,0,Padres,Home
32.0,3.0,7.0,2.0,2.0,7.0,13.0,9.0,5.0,2.0,2.0,4.0,10.0,0.0,1,Rockies,Away
