AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,2.0,7.0,2.0,2.0,9.0,13.0,9.0,9.0,6.0,4.0,10.0,5.0,2.0,0,White,Home
34.0,6.0,9.0,4.0,10.0,5.0,19.0,9.0,7.0,2.0,2.0,2.0,9.0,0.0,1,Astros,Away
28.0,3.0,6.0,2.0,2.0,8.0,6.0,9.0,9.0,1.0,1.0,2.0,5.0,0.0,1,Nationals,Home
34.0,1.0,9.0,1.0,2.0,5.0,13.0,8.0,6.0,3.0,3.0,2.0,8.0,2.0,0,Reds,Away
32.0,4.0,9.0,4.0,1.0,15.0,12.0,9.0,5.0,2.0,2.0,5.0,3.0,1.0,1,Phillies,Home
29.0,2.0,5.0,2.0,5.0,3.0,17.0,8.0,9.0,4.0,3.0,1.0,15.0,1.0,0,Cubs,Away
37.0,8.0,15.0,8.0,5.0,3.0,17.0,9.0,6.0,3.0,3.0,1.0,9.0,3.0,1,Yankees,Home
32.0,3.0,6.0,3.0,1.0,9.0,7.0,8.0,15.0,8.0,8.0,5.0,3.0,1.0,0,Orioles,Away
30.0,3.0,6.0,3.0,4.0,8.0,16.0,9.0,5.0,0.0,0.0,5.0,10.0,0.0,1,Blue,Home
32.0,0.0,5.0,0.0,5.0,10.0,21.0,8.0,6.0,3.0,3.0,4.0,8.0,3.0,0,Rangers,Away
39.0,6.0,9.0,6.0,3.0,17.0,15.0,10.0,17.0,7.0,7.0,4.0,10.0,1.0,0,Indians,Home
43.0,7.0,17.0,7.0,4.0,10.0,21.0,10.0,9.0,6.0,4.0,3.0,17.0,2.0,1,Red,Away
40.0,6.0,13.0,5.0,3.0,12.0,22.0,9.0,11.0,11.0,10.0,6.0,10.0,5.0,0,Tigers,Home
38.0,11.0,11.0,11.0,6.0,10.0,12.0,9.0,13.0,6.0,6.0,3.0,12.0,2.0,1,Mariners,Away
29.0,1.0,4.0,1.0,2.0,9.0,12.0,9.0,15.0,15.0,15.0,5.0,7.0,6.0,0,Marlins,Home
43.0,15.0,15.0,14.0,5.0,7.0,8.0,9.0,4.0,1.0,1.0,2.0,9.0,0.0,1,Dodgers,Away
35.0,5.0,13.0,5.0,2.0,4.0,22.0,9.0,10.0,3.0,3.0,3.0,8.0,0.0,1,Braves,Home
35.0,3.0,10.0,3.0,3.0,8.0,13.0,8.0,13.0,5.0,5.0,2.0,4.0,1.0,0,Mets,Away
37.0,5.0,10.0,5.0,5.0,5.0,21.0,9.0,9.0,7.0,7.0,6.0,8.0,2.0,0,Brewers,Home
34.0,7.0,9.0,7.0,6.0,8.0,19.0,9.0,10.0,5.0,3.0,5.0,5.0,1.0,1,Twins,Away
29.0,0.0,4.0,0.0,2.0,8.0,10.0,9.0,5.0,2.0,1.0,4.0,4.0,0.0,0,Royals,Home
29.0,2.0,5.0,2.0,4.0,4.0,10.0,9.0,4.0,0.0,0.0,2.0,8.0,0.0,1,Cardinals,Away
39.0,3.0,13.0,3.0,2.0,8.0,20.0,9.0,11.0,9.0,9.0,5.0,9.0,4.0,0,Rockies,Home
36.0,9.0,11.0,9.0,5.0,9.0,10.0,9.0,13.0,3.0,3.0,2.0,8.0,1.0,1,D-backs,Away
27.0,3.0,6.0,3.0,3.0,4.0,11.0,9.0,5.0,2.0,2.0,1.0,13.0,1.0,1,Giants,Home
31.0,2.0,5.0,2.0,1.0,13.0,9.0,8.0,6.0,3.0,3.0,3.0,4.0,0.0,0,Athletics,Away
34.0,7.0,10.0,7.0,7.0,6.0,21.0,9.0,17.0,10.0,10.0,5.0,6.0,2.0,0,Angels,Home
41.0,10.0,17.0,9.0,5.0,6.0,19.0,9.0,10.0,7.0,7.0,7.0,6.0,0.0,1,Pirates,Away
32.0,5.0,7.0,4.0,9.0,18.0,19.0,9.0,11.0,7.0,6.0,5.0,8.0,2.0,0,Padres,Home
39.0,7.0,11.0,6.0,5.0,8.0,20.0,9.0,7.0,5.0,4.0,9.0,18.0,0.0,1,Rays,Away
33.0,4.0,10.0,4.0,2.0,6.0,22.0,9.0,4.0,1.0,0.0,0.0,3.0,0.0,1,White,Home
30.0,1.0,4.0,1.0,0.0,3.0,7.0,8.0,10.0,4.0,2.0,2.0,6.0,0.0,0,Astros,Away
