AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
36.0,3.0,9.0,3.0,3.0,8.0,17.0,9.0,5.0,5.0,5.0,4.0,14.0,0.0,0,Reds,Home
31.0,5.0,5.0,5.0,4.0,14.0,9.0,9.0,9.0,3.0,3.0,3.0,8.0,1.0,1,Brewers,Away
40.0,4.0,13.0,4.0,1.0,11.0,18.0,9.0,13.0,10.0,7.0,3.0,8.0,2.0,0,Tigers,Home
41.0,10.0,13.0,8.0,3.0,8.0,15.0,9.0,13.0,4.0,4.0,1.0,11.0,0.0,1,Twins,Away
31.0,7.0,7.0,7.0,6.0,6.0,12.0,9.0,10.0,5.0,5.0,2.0,10.0,2.0,1,Rangers,Home
35.0,5.0,10.0,5.0,2.0,10.0,9.0,8.0,7.0,7.0,7.0,6.0,6.0,3.0,0,Red,Away
30.0,0.0,3.0,0.0,2.0,12.0,12.0,9.0,5.0,1.0,1.0,2.0,11.0,0.0,0,Padres,Home
30.0,1.0,5.0,1.0,2.0,11.0,13.0,9.0,3.0,0.0,0.0,2.0,12.0,0.0,1,Dodgers,Away
33.0,8.0,12.0,7.0,3.0,5.0,9.0,9.0,8.0,3.0,3.0,1.0,16.0,0.0,1,Giants,Home
35.0,3.0,8.0,2.0,1.0,16.0,12.0,8.0,12.0,8.0,8.0,3.0,5.0,2.0,0,Rockies,Away
31.0,6.0,9.0,4.0,7.0,11.0,17.0,9.0,7.0,3.0,3.0,2.0,15.0,2.0,1,Nationals,Home
31.0,3.0,7.0,3.0,2.0,15.0,9.0,8.0,9.0,6.0,5.0,7.0,11.0,2.0,0,Phillies,Away
39.0,9.0,16.0,7.0,1.0,7.0,14.0,9.0,6.0,5.0,4.0,3.0,12.0,0.0,1,Pirates,Home
32.0,5.0,6.0,5.0,3.0,12.0,10.0,8.0,16.0,9.0,7.0,1.0,7.0,0.0,0,Cubs,Away
29.0,2.0,5.0,2.0,4.0,12.0,12.0,9.0,6.0,4.0,4.0,0.0,11.0,3.0,0,Mets,Home
33.0,4.0,6.0,4.0,0.0,11.0,4.0,9.0,5.0,2.0,2.0,4.0,12.0,0.0,1,Marlins,Away
33.0,8.0,11.0,8.0,6.0,8.0,13.0,9.0,4.0,0.0,0.0,0.0,10.0,0.0,1,White,Home
32.0,0.0,4.0,0.0,0.0,10.0,9.0,8.0,11.0,8.0,8.0,6.0,8.0,3.0,0,Indians,Away
42.0,4.0,7.0,3.0,4.0,7.0,15.0,12.0,12.0,3.0,3.0,9.0,11.0,2.0,1,Angels,Home
46.0,3.0,12.0,3.0,9.0,11.0,30.0,11.2,7.0,4.0,3.0,4.0,7.0,0.0,0,Astros,Away
29.0,1.0,4.0,1.0,0.0,10.0,6.0,9.0,6.0,3.0,3.0,5.0,6.0,1.0,0,Mariners,Home
33.0,3.0,6.0,3.0,5.0,6.0,16.0,9.0,4.0,1.0,1.0,0.0,10.0,0.0,1,Athletics,Away
