AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
29.0,6.0,7.0,6.0,10.0,7.0,19.0,9.0,7.0,3.0,3.0,1.0,13.0,1.0,1,Nationals,Home
34.0,3.0,7.0,2.0,1.0,13.0,9.0,8.0,7.0,6.0,6.0,10.0,7.0,1.0,0,Braves,Away
38.0,11.0,13.0,9.0,4.0,7.0,19.0,9.0,9.0,6.0,6.0,3.0,7.0,3.0,1,Reds,Home
34.0,6.0,9.0,6.0,3.0,7.0,7.0,8.0,13.0,11.0,6.0,4.0,7.0,1.0,0,Pirates,Away
33.0,11.0,10.0,10.0,4.0,4.0,7.0,9.0,7.0,6.0,6.0,3.0,10.0,2.0,1,Marlins,Home
34.0,6.0,7.0,6.0,3.0,10.0,11.0,8.0,10.0,11.0,11.0,4.0,4.0,2.0,0,D-backs,Away
32.0,3.0,5.0,2.0,3.0,8.0,10.0,9.0,11.0,7.0,7.0,3.0,9.0,3.0,0,Royals,Home
38.0,7.0,11.0,7.0,3.0,9.0,13.0,9.0,5.0,3.0,2.0,3.0,8.0,0.0,1,Blue,Away
37.0,9.0,11.0,9.0,4.0,10.0,18.0,9.0,4.0,1.0,1.0,3.0,6.0,0.0,1,Rockies,Home
30.0,1.0,4.0,1.0,3.0,6.0,12.0,8.0,11.0,9.0,8.0,4.0,10.0,1.0,0,Dodgers,Away
31.0,2.0,5.0,2.0,3.0,7.0,11.0,9.0,9.0,7.0,5.0,2.0,10.0,2.0,0,Angels,Home
36.0,7.0,9.0,6.0,2.0,10.0,11.0,9.0,5.0,2.0,2.0,3.0,7.0,1.0,1,Tigers,Away
34.0,8.0,10.0,8.0,2.0,10.0,7.0,9.0,7.0,1.0,1.0,4.0,10.0,0.0,1,Padres,Home
36.0,1.0,7.0,1.0,4.0,10.0,23.0,8.0,10.0,8.0,8.0,2.0,10.0,5.0,0,Orioles,Away
