AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,6.0,7.0,5.0,4.0,11.0,11.0,9.0,13.0,5.0,5.0,3.0,11.0,2.0,1,Cubs,Home
39.0,5.0,13.0,5.0,3.0,11.0,19.0,8.0,7.0,6.0,5.0,4.0,11.0,2.0,0,Padres,Away
38.0,11.0,14.0,9.0,3.0,7.0,24.0,9.0,7.0,2.0,2.0,2.0,6.0,1.0,1,Orioles,Home
34.0,2.0,7.0,2.0,2.0,6.0,15.0,8.0,14.0,11.0,10.0,3.0,7.0,2.0,0,Red,Away
33.0,1.0,7.0,1.0,2.0,5.0,10.0,9.0,15.0,6.0,6.0,5.0,9.0,1.0,0,Pirates,Home
41.0,6.0,15.0,5.0,5.0,9.0,23.0,9.0,7.0,1.0,1.0,2.0,5.0,0.0,1,Phillies,Away
36.0,8.0,12.0,8.0,4.0,8.0,14.0,9.0,9.0,2.0,2.0,2.0,17.0,1.0,1,Yankees,Home
34.0,2.0,9.0,2.0,2.0,17.0,10.0,8.0,12.0,8.0,8.0,4.0,8.0,2.0,0,Rockies,Away
43.0,11.0,18.0,11.0,4.0,10.0,19.0,9.0,11.0,12.0,8.0,3.0,8.0,2.0,0,Reds,Home
36.0,12.0,11.0,11.0,3.0,8.0,8.0,9.0,18.0,11.0,11.0,4.0,10.0,2.0,1,Cardinals,Away
36.0,10.0,16.0,10.0,4.0,3.0,21.0,9.0,9.0,5.0,5.0,5.0,7.0,0.0,1,Indians,Home
33.0,5.0,9.0,4.0,5.0,7.0,13.0,8.0,16.0,10.0,10.0,4.0,3.0,1.0,0,Royals,Away
35.0,1.0,8.0,1.0,0.0,7.0,19.0,9.0,15.0,12.0,12.0,5.0,12.0,1.0,0,Tigers,Home
42.0,12.0,15.0,11.0,5.0,12.0,21.0,9.0,8.0,1.0,1.0,0.0,7.0,0.0,1,Blue,Away
33.0,2.0,6.0,2.0,3.0,11.0,11.0,9.0,17.0,9.0,9.0,1.0,16.0,1.0,0,Rays,Home
44.0,9.0,17.0,8.0,1.0,16.0,15.0,9.0,6.0,2.0,2.0,3.0,11.0,0.0,1,White,Away
34.0,4.0,12.0,4.0,6.0,8.0,16.0,9.0,7.0,3.0,3.0,1.0,10.0,1.0,1,Braves,Home
34.0,3.0,7.0,3.0,1.0,10.0,8.0,8.0,12.0,4.0,4.0,6.0,8.0,0.0,0,Nationals,Away
29.0,4.0,7.0,4.0,1.0,11.0,10.0,9.0,10.0,3.0,2.0,3.0,15.0,2.0,1,Astros,Home
38.0,3.0,10.0,3.0,3.0,15.0,22.0,8.0,7.0,4.0,4.0,1.0,11.0,4.0,0,Rangers,Away
34.0,3.0,7.0,2.0,3.0,5.0,20.0,9.0,12.0,5.0,5.0,2.0,7.0,1.0,0,Twins,Home
36.0,5.0,12.0,5.0,2.0,7.0,14.0,9.0,7.0,3.0,2.0,3.0,5.0,1.0,1,Athletics,Away
32.0,10.0,10.0,9.0,8.0,7.0,20.0,9.0,12.0,7.0,7.0,3.0,6.0,2.0,1,D-backs,Home
36.0,7.0,12.0,7.0,3.0,6.0,12.0,8.0,10.0,10.0,9.0,8.0,7.0,2.0,0,Brewers,Away
31.0,2.0,6.0,1.0,4.0,6.0,26.0,9.0,4.0,1.0,1.0,3.0,12.0,0.0,1,Dodgers,Home
30.0,1.0,4.0,1.0,3.0,12.0,10.0,8.0,6.0,2.0,1.0,4.0,6.0,0.0,0,Marlins,Away
34.0,10.0,12.0,10.0,5.0,9.0,13.0,9.0,1.0,0.0,0.0,1.0,6.0,0.0,1,Mariners,Home
28.0,0.0,1.0,0.0,1.0,6.0,6.0,8.0,12.0,10.0,10.0,5.0,9.0,2.0,0,Angels,Away
31.0,1.0,3.0,0.0,7.0,13.0,19.0,10.0,3.0,0.0,0.0,1.0,9.0,0.0,1,Giants,Home
33.0,0.0,3.0,0.0,1.0,9.0,10.0,9.2,3.0,1.0,0.0,7.0,13.0,0.0,0,Mets,Away
