AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
40.0,10.0,17.0,10.0,1.0,10.0,16.0,9.0,10.0,1.0,1.0,1.0,7.0,1.0,1,Blue,Home
35.0,1.0,10.0,1.0,1.0,7.0,13.0,8.0,17.0,10.0,10.0,1.0,10.0,4.0,0,Padres,Away
34.0,3.0,8.0,3.0,4.0,9.0,17.0,9.0,8.0,6.0,4.0,2.0,11.0,1.0,0,Indians,Home
34.0,6.0,8.0,4.0,2.0,11.0,14.0,9.0,8.0,3.0,3.0,4.0,9.0,1.0,1,Rays,Away
30.0,4.0,8.0,4.0,1.0,8.0,15.0,9.0,6.0,3.0,3.0,2.0,13.0,1.0,1,Mets,Home
33.0,3.0,6.0,3.0,2.0,13.0,14.0,8.0,8.0,4.0,4.0,1.0,8.0,1.0,0,Tigers,Away
39.0,9.0,15.0,9.0,2.0,5.0,12.0,9.0,11.0,6.0,6.0,5.0,8.0,1.0,1,Nationals,Home
35.0,6.0,11.0,6.0,5.0,8.0,13.0,8.0,15.0,9.0,9.0,2.0,5.0,1.0,0,Marlins,Away
39.0,7.0,12.0,7.0,2.0,7.0,14.0,9.0,12.0,11.0,8.0,8.0,4.0,2.0,0,Pirates,Home
36.0,11.0,12.0,11.0,8.0,4.0,28.0,9.0,12.0,7.0,7.0,2.0,7.0,2.0,1,Dodgers,Away
30.0,1.0,4.0,1.0,2.0,10.0,10.0,9.0,6.0,4.0,2.0,2.0,8.0,1.0,0,Astros,Home
34.0,4.0,6.0,3.0,2.0,8.0,13.0,9.0,4.0,1.0,1.0,2.0,10.0,0.0,1,Red,Away
30.0,7.0,6.0,7.0,2.0,8.0,5.0,9.0,5.0,0.0,0.0,3.0,16.0,0.0,1,Twins,Home
32.0,0.0,5.0,0.0,3.0,16.0,14.0,8.0,6.0,7.0,7.0,2.0,8.0,2.0,0,White,Away
35.0,9.0,12.0,9.0,4.0,8.0,13.0,9.0,1.0,1.0,1.0,0.0,12.0,1.0,1,Brewers,Home
28.0,1.0,1.0,1.0,0.0,12.0,0.0,8.0,12.0,9.0,9.0,4.0,8.0,5.0,0,Phillies,Away
44.0,8.0,14.0,8.0,3.0,11.0,16.0,10.0,11.0,7.0,4.0,4.0,7.0,1.0,1,Royals,Home
40.0,7.0,11.0,7.0,4.0,7.0,14.0,9.2,14.0,8.0,8.0,3.0,11.0,4.0,0,Yankees,Away
34.0,2.0,8.0,2.0,3.0,13.0,13.0,9.0,17.0,10.0,8.0,3.0,3.0,1.0,0,Cubs,Home
40.0,10.0,17.0,7.0,3.0,3.0,18.0,9.0,8.0,2.0,2.0,3.0,13.0,2.0,1,Reds,Away
35.0,8.0,12.0,7.0,6.0,9.0,20.0,9.0,11.0,7.0,7.0,2.0,5.0,0.0,1,Rockies,Home
37.0,7.0,11.0,7.0,2.0,5.0,13.0,8.2,12.0,8.0,6.0,6.0,9.0,1.0,0,Orioles,Away
35.0,2.0,10.0,2.0,3.0,8.0,25.0,9.0,10.0,6.0,4.0,2.0,6.0,1.0,0,Giants,Home
35.0,6.0,10.0,5.0,2.0,6.0,12.0,9.0,10.0,2.0,2.0,3.0,8.0,0.0,1,D-backs,Away
32.0,7.0,11.0,5.0,4.0,5.0,13.0,9.0,7.0,6.0,5.0,4.0,17.0,2.0,1,Angels,Home
37.0,6.0,7.0,6.0,4.0,17.0,18.0,8.0,11.0,7.0,6.0,4.0,5.0,1.0,0,Rangers,Away
32.0,7.0,7.0,6.0,3.0,5.0,11.0,9.0,6.0,1.0,1.0,4.0,6.0,1.0,1,Athletics,Home
30.0,1.0,6.0,1.0,4.0,6.0,15.0,8.0,7.0,7.0,5.0,3.0,5.0,2.0,0,Mariners,Away
34.0,3.0,3.0,3.0,6.0,5.0,15.0,10.0,9.0,4.0,4.0,6.0,13.0,0.0,0,Cardinals,Home
37.0,4.0,9.0,4.0,6.0,13.0,18.0,10.0,3.0,3.0,1.0,6.0,5.0,0.0,1,Braves,Away
