AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
32.0,0.0,5.0,0.0,1.0,9.0,8.0,9.0,9.0,5.0,5.0,1.0,9.0,0.0,0,Pirates,Home
34.0,5.0,9.0,5.0,1.0,9.0,13.0,9.0,5.0,0.0,0.0,1.0,9.0,0.0,1,D-backs,Away
32.0,1.0,7.0,1.0,3.0,12.0,13.0,9.0,4.0,2.0,2.0,3.0,10.0,0.0,0,Cubs,Home
30.0,2.0,4.0,1.0,3.0,10.0,10.0,9.0,7.0,1.0,1.0,3.0,12.0,1.0,1,Dodgers,Away
23.0,4.0,5.0,4.0,6.0,7.0,12.0,9.0,11.0,2.0,2.0,1.0,7.0,1.0,1,Reds,Home
36.0,2.0,11.0,2.0,1.0,7.0,20.0,8.0,5.0,4.0,4.0,6.0,7.0,0.0,0,Braves,Away
34.0,1.0,4.0,1.0,1.0,13.0,9.0,10.0,12.0,3.0,3.0,2.0,7.0,1.0,0,Phillies,Home
37.0,3.0,12.0,3.0,2.0,7.0,15.0,10.0,4.0,1.0,1.0,1.0,13.0,1.0,1,Marlins,Away
33.0,7.0,10.0,7.0,3.0,6.0,11.0,9.0,7.0,3.0,3.0,3.0,6.0,1.0,1,Red,Home
34.0,3.0,7.0,3.0,3.0,6.0,14.0,8.0,10.0,7.0,7.0,3.0,6.0,1.0,0,Tigers,Away
27.0,1.0,4.0,1.0,6.0,4.0,10.0,9.0,4.0,2.0,2.0,3.0,10.0,2.0,0,Astros,Home
30.0,2.0,4.0,2.0,3.0,10.0,6.0,9.0,4.0,1.0,1.0,6.0,4.0,1.0,1,Indians,Away
32.0,11.0,9.0,10.0,7.0,5.0,12.0,9.0,9.0,5.0,5.0,7.0,8.0,1.0,1,Angels,Home
35.0,5.0,9.0,4.0,7.0,8.0,26.0,8.0,9.0,11.0,10.0,7.0,5.0,2.0,0,Yankees,Away
36.0,14.0,14.0,14.0,8.0,8.0,22.0,9.0,9.0,2.0,0.0,2.0,12.0,0.0,1,Mariners,Home
35.0,2.0,9.0,2.0,2.0,12.0,16.0,8.0,14.0,14.0,13.0,8.0,8.0,1.0,0,Rangers,Away
