AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
36.0,4.0,12.0,4.0,2.0,13.0,19.0,9.0,5.0,1.0,1.0,5.0,9.0,0.0,1,Tigers,Home
31.0,1.0,5.0,1.0,5.0,9.0,18.0,8.0,12.0,4.0,4.0,2.0,13.0,2.0,0,Indians,Away
33.0,1.0,6.0,1.0,1.0,14.0,10.0,9.0,14.0,9.0,9.0,6.0,10.0,3.0,0,White,Home
41.0,9.0,14.0,9.0,6.0,10.0,20.0,9.0,6.0,1.0,1.0,1.0,14.0,0.0,1,Rays,Away
34.0,1.0,7.0,1.0,1.0,8.0,14.0,9.0,6.0,3.0,3.0,2.0,7.0,1.0,0,Giants,Home
31.0,3.0,6.0,3.0,2.0,7.0,9.0,9.0,7.0,1.0,1.0,1.0,8.0,1.0,1,Padres,Away
24.0,2.0,3.0,2.0,5.0,8.0,5.0,9.0,3.0,1.0,1.0,5.0,14.0,1.0,1,Reds,Home
29.0,1.0,3.0,1.0,5.0,14.0,11.0,8.0,3.0,2.0,2.0,5.0,8.0,2.0,0,Marlins,Away
31.0,3.0,4.0,3.0,3.0,4.0,10.0,9.0,13.0,10.0,10.0,2.0,4.0,5.0,0,Orioles,Home
39.0,10.0,13.0,10.0,2.0,4.0,7.0,9.0,4.0,3.0,3.0,3.0,4.0,2.0,1,Athletics,Away
28.0,1.0,3.0,1.0,7.0,10.0,19.0,9.0,17.0,15.0,13.0,6.0,11.0,0.0,0,Phillies,Home
44.0,15.0,17.0,14.0,6.0,11.0,21.0,9.0,3.0,1.0,1.0,7.0,10.0,0.0,1,Nationals,Away
27.0,9.0,5.0,9.0,10.0,10.0,13.0,9.0,9.0,6.0,6.0,1.0,10.0,1.0,1,Mets,Home
34.0,6.0,9.0,5.0,1.0,10.0,7.0,8.0,5.0,9.0,9.0,10.0,10.0,0.0,0,Twins,Away
36.0,8.0,16.0,8.0,5.0,9.0,17.0,9.0,10.0,6.0,6.0,3.0,13.0,2.0,1,Astros,Home
35.0,6.0,10.0,6.0,3.0,13.0,16.0,8.0,16.0,8.0,8.0,5.0,9.0,3.0,0,Yankees,Away
32.0,7.0,10.0,7.0,1.0,6.0,6.0,9.0,5.0,2.0,2.0,1.0,11.0,2.0,1,Cardinals,Home
31.0,2.0,5.0,2.0,1.0,11.0,10.0,8.0,10.0,7.0,7.0,1.0,6.0,2.0,0,Dodgers,Away
34.0,2.0,6.0,2.0,3.0,15.0,19.0,9.0,9.0,5.0,4.0,2.0,7.0,2.0,0,Cubs,Home
35.0,5.0,9.0,4.0,2.0,7.0,12.0,9.0,6.0,2.0,2.0,3.0,15.0,1.0,1,Pirates,Away
35.0,5.0,10.0,5.0,4.0,5.0,10.0,9.0,11.0,6.0,6.0,3.0,8.0,1.0,0,Royals,Home
35.0,6.0,11.0,6.0,3.0,8.0,15.0,9.0,10.0,5.0,5.0,4.0,5.0,2.0,1,Mariners,Away
33.0,2.0,6.0,1.0,3.0,12.0,22.0,9.0,8.0,5.0,5.0,4.0,15.0,1.0,0,D-backs,Home
35.0,5.0,8.0,5.0,4.0,15.0,21.0,9.0,6.0,2.0,2.0,3.0,12.0,0.0,1,Rangers,Away
28.0,4.0,5.0,3.0,1.0,10.0,5.0,9.0,7.0,2.0,1.0,3.0,5.0,0.0,1,Angels,Home
32.0,2.0,7.0,2.0,3.0,5.0,19.0,8.0,5.0,4.0,4.0,1.0,10.0,0.0,0,Brewers,Away
