AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
39.0,5.0,12.0,5.0,5.0,8.0,19.0,10.0,8.0,6.0,5.0,5.0,14.0,2.0,0,Pirates,Home
37.0,6.0,8.0,6.0,5.0,14.0,15.0,10.0,12.0,5.0,5.0,5.0,8.0,1.0,1,Cardinals,Away
28.0,3.0,5.0,3.0,2.0,7.0,7.0,9.0,12.0,7.0,5.0,7.0,5.0,1.0,0,Blue,Home
37.0,7.0,12.0,7.0,7.0,5.0,18.0,9.0,5.0,3.0,3.0,2.0,7.0,2.0,1,Indians,Away
35.0,4.0,9.0,4.0,5.0,9.0,16.0,9.0,12.0,9.0,9.0,3.0,3.0,3.0,0,Rays,Home
39.0,9.0,12.0,9.0,3.0,3.0,11.0,9.0,9.0,4.0,4.0,5.0,9.0,0.0,1,Red,Away
37.0,11.0,13.0,11.0,8.0,6.0,25.0,9.0,2.0,1.0,1.0,1.0,11.0,0.0,1,Astros,Home
30.0,1.0,2.0,1.0,1.0,11.0,5.0,8.0,13.0,11.0,11.0,8.0,6.0,3.0,0,Athletics,Away
32.0,8.0,8.0,8.0,3.0,9.0,9.0,9.0,13.0,6.0,6.0,5.0,8.0,3.0,1,Twins,Home
36.0,6.0,13.0,6.0,5.0,8.0,19.0,8.0,8.0,8.0,7.0,3.0,9.0,5.0,0,Yankees,Away
34.0,9.0,10.0,9.0,1.0,11.0,4.0,9.0,4.0,1.0,1.0,0.0,5.0,1.0,1,White,Home
30.0,1.0,4.0,1.0,0.0,5.0,8.0,8.0,10.0,9.0,9.0,1.0,11.0,4.0,0,Marlins,Away
34.0,5.0,8.0,5.0,7.0,12.0,18.0,9.0,12.0,6.0,6.0,3.0,7.0,2.0,0,Brewers,Home
36.0,6.0,12.0,6.0,3.0,7.0,11.0,9.0,8.0,5.0,5.0,7.0,12.0,1.0,1,Reds,Away
36.0,6.0,12.0,6.0,4.0,6.0,18.0,9.0,9.0,3.0,3.0,1.0,12.0,2.0,1,D-backs,Home
35.0,3.0,9.0,3.0,1.0,12.0,15.0,8.0,12.0,6.0,5.0,4.0,6.0,0.0,0,Orioles,Away
35.0,5.0,13.0,4.0,1.0,7.0,14.0,9.0,6.0,4.0,4.0,3.0,10.0,2.0,1,Giants,Home
33.0,4.0,6.0,4.0,3.0,10.0,7.0,8.0,13.0,5.0,5.0,1.0,7.0,0.0,0,Cubs,Away
34.0,7.0,11.0,7.0,2.0,9.0,18.0,9.0,9.0,3.0,3.0,1.0,7.0,1.0,1,Mariners,Home
36.0,3.0,9.0,3.0,1.0,7.0,15.0,8.0,11.0,7.0,7.0,2.0,9.0,2.0,0,Rangers,Away
