AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
34.0,4.0,6.0,4.0,2.0,15.0,3.0,10.0,10.0,5.0,5.0,1.0,10.0,1.0,0,Mets,Home
37.0,5.0,10.0,5.0,1.0,10.0,12.0,10.0,6.0,4.0,4.0,2.0,15.0,1.0,1,Cardinals,Away
34.0,2.0,9.0,2.0,0.0,6.0,12.0,9.0,16.0,13.0,13.0,7.0,6.0,6.0,0,Orioles,Home
41.0,13.0,16.0,13.0,7.0,6.0,22.0,9.0,9.0,2.0,2.0,0.0,6.0,1.0,1,Red,Away
30.0,7.0,8.0,7.0,2.0,7.0,7.0,9.0,6.0,3.0,3.0,3.0,13.0,2.0,1,Nationals,Home
34.0,3.0,6.0,3.0,3.0,13.0,11.0,8.0,8.0,7.0,7.0,2.0,7.0,2.0,0,D-backs,Away
31.0,1.0,5.0,1.0,1.0,12.0,11.0,9.0,8.0,7.0,6.0,7.0,12.0,1.0,0,Reds,Home
34.0,7.0,8.0,6.0,7.0,12.0,24.0,9.0,5.0,1.0,1.0,1.0,12.0,1.0,1,Rangers,Away
33.0,4.0,7.0,4.0,3.0,10.0,12.0,9.0,17.0,13.0,7.0,5.0,7.0,2.0,0,Tigers,Home
45.0,13.0,17.0,12.0,5.0,7.0,25.0,9.0,7.0,4.0,3.0,3.0,10.0,2.0,1,Indians,Away
36.0,5.0,9.0,5.0,4.0,6.0,22.0,9.0,8.0,9.0,8.0,4.0,7.0,4.0,0,Mets,Home
33.0,9.0,8.0,9.0,4.0,7.0,9.0,9.0,9.0,5.0,3.0,4.0,6.0,1.0,1,Cardinals,Away
37.0,9.0,13.0,9.0,5.0,5.0,22.0,9.0,8.0,4.0,3.0,5.0,9.0,0.0,1,Rays,Home
34.0,4.0,8.0,3.0,5.0,9.0,20.0,8.0,13.0,9.0,9.0,5.0,5.0,1.0,0,Angels,Away
35.0,0.0,9.0,0.0,1.0,9.0,17.0,9.0,18.0,11.0,11.0,1.0,3.0,2.0,0,Marlins,Home
40.0,11.0,18.0,11.0,1.0,3.0,12.0,9.0,9.0,0.0,0.0,1.0,9.0,0.0,1,Pirates,Away
38.0,9.0,14.0,9.0,4.0,9.0,17.0,9.0,9.0,8.0,6.0,5.0,7.0,3.0,1,Braves,Home
34.0,8.0,9.0,7.0,5.0,7.0,11.0,8.2,14.0,9.0,9.0,4.0,9.0,3.0,0,Phillies,Away
35.0,15.0,12.0,15.0,7.0,11.0,11.0,9.0,5.0,2.0,2.0,2.0,13.0,0.0,1,Astros,Home
32.0,2.0,5.0,2.0,2.0,13.0,12.0,8.0,12.0,15.0,15.0,7.0,11.0,4.0,0,Blue,Away
26.0,2.0,4.0,2.0,4.0,6.0,14.0,9.0,2.0,0.0,0.0,0.0,7.0,0.0,1,Twins,Home
28.0,0.0,2.0,0.0,0.0,7.0,2.0,8.0,4.0,2.0,2.0,4.0,6.0,1.0,0,Royals,Away
37.0,10.0,15.0,9.0,4.0,5.0,17.0,9.0,7.0,2.0,2.0,5.0,8.0,1.0,1,White,Home
32.0,2.0,7.0,2.0,5.0,8.0,19.0,8.0,15.0,10.0,8.0,4.0,5.0,2.0,0,Yankees,Away
53.0,12.0,18.0,11.0,2.0,9.0,19.0,12.0,21.0,16.0,16.0,6.0,10.0,4.0,0,Rockies,Home
56.0,16.0,21.0,15.0,6.0,10.0,27.0,12.0,18.0,12.0,12.0,2.0,9.0,3.0,1,Padres,Away
33.0,2.0,7.0,1.0,4.0,5.0,18.0,9.0,10.0,9.0,8.0,4.0,4.0,2.0,0,Athletics,Home
36.0,9.0,10.0,9.0,4.0,4.0,16.0,9.0,7.0,2.0,1.0,4.0,5.0,0.0,1,Mariners,Away
31.0,5.0,7.0,5.0,6.0,6.0,12.0,9.0,8.0,3.0,3.0,0.0,10.0,2.0,1,Dodgers,Home
35.0,3.0,8.0,3.0,0.0,10.0,11.0,8.0,7.0,5.0,5.0,6.0,6.0,2.0,0,Cubs,Away
31.0,5.0,10.0,5.0,1.0,4.0,9.0,9.0,8.0,3.0,1.0,7.0,7.0,0.0,1,Giants,Home
34.0,3.0,8.0,1.0,7.0,7.0,22.0,8.0,10.0,5.0,5.0,1.0,4.0,3.0,0,Brewers,Away
