AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
34.0,9.0,10.0,9.0,3.0,5.0,13.0,9.0,8.0,2.0,2.0,0.0,14.0,0.0,1,Twins,Home
35.0,2.0,8.0,2.0,0.0,14.0,12.0,8.0,10.0,9.0,8.0,3.0,5.0,5.0,0,Orioles,Away
31.0,6.0,9.0,6.0,3.0,3.0,13.0,9.0,7.0,3.0,3.0,2.0,7.0,0.0,1,Cardinals,Home
30.0,3.0,7.0,3.0,2.0,7.0,7.0,8.0,9.0,6.0,6.0,3.0,3.0,1.0,0,Reds,Away
34.0,7.0,12.0,6.0,5.0,9.0,23.0,9.0,4.0,1.0,0.0,5.0,7.0,0.0,1,Blue,Home
31.0,1.0,4.0,0.0,5.0,7.0,14.0,8.0,12.0,7.0,7.0,5.0,9.0,0.0,0,Athletics,Away
31.0,1.0,5.0,1.0,7.0,11.0,23.0,9.0,4.0,2.0,2.0,6.0,10.0,1.0,0,Red,Home
29.0,2.0,4.0,2.0,6.0,10.0,14.0,9.0,5.0,1.0,1.0,7.0,11.0,1.0,1,Rays,Away
32.0,4.0,5.0,4.0,4.0,12.0,13.0,10.0,8.0,3.0,3.0,1.0,10.0,0.0,1,Astros,Home
35.0,3.0,8.0,2.0,1.0,10.0,9.0,9.0,5.0,4.0,4.0,4.0,12.0,2.0,0,Indians,Away
34.0,3.0,5.0,3.0,6.0,11.0,12.0,10.0,8.0,8.0,7.0,5.0,13.0,1.0,0,Nationals,Home
35.0,8.0,8.0,7.0,5.0,13.0,10.0,10.0,5.0,3.0,3.0,6.0,11.0,2.0,1,Padres,Away
36.0,4.0,9.0,4.0,0.0,5.0,11.0,9.0,8.0,6.0,6.0,5.0,8.0,1.0,0,Giants,Home
31.0,6.0,8.0,6.0,5.0,8.0,10.0,9.0,9.0,4.0,4.0,0.0,5.0,2.0,1,Yankees,Away
35.0,12.0,14.0,11.0,5.0,8.0,14.0,9.0,17.0,9.0,9.0,3.0,9.0,1.0,1,Phillies,Home
41.0,9.0,17.0,9.0,3.0,9.0,22.0,8.0,14.0,12.0,12.0,5.0,8.0,3.0,0,Marlins,Away
36.0,6.0,12.0,5.0,3.0,13.0,20.0,9.0,14.0,8.0,8.0,6.0,11.0,2.0,0,Mets,Home
38.0,8.0,14.0,7.0,6.0,11.0,22.0,9.0,12.0,6.0,6.0,3.0,13.0,2.0,1,Brewers,Away
38.0,9.0,15.0,9.0,4.0,7.0,20.0,9.0,7.0,4.0,4.0,6.0,8.0,0.0,1,Royals,Home
32.0,4.0,7.0,4.0,6.0,8.0,18.0,8.0,15.0,9.0,9.0,4.0,7.0,0.0,0,Angels,Away
34.0,5.0,9.0,5.0,4.0,6.0,16.0,9.0,9.0,9.0,9.0,3.0,7.0,3.0,0,Braves,Home
35.0,9.0,9.0,9.0,3.0,7.0,8.0,9.0,9.0,5.0,5.0,4.0,6.0,2.0,1,Rockies,Away
29.0,1.0,2.0,1.0,4.0,10.0,12.0,9.0,12.0,9.0,9.0,4.0,7.0,3.0,0,D-backs,Home
37.0,9.0,12.0,8.0,4.0,7.0,13.0,9.0,2.0,1.0,1.0,4.0,10.0,1.0,1,Cubs,Away
29.0,3.0,6.0,3.0,2.0,7.0,16.0,9.0,5.0,1.0,1.0,2.0,9.0,0.0,1,Dodgers,Home
31.0,1.0,5.0,1.0,2.0,9.0,13.0,8.0,6.0,3.0,1.0,2.0,7.0,0.0,0,Pirates,Away
30.0,1.0,3.0,1.0,1.0,16.0,4.0,9.0,20.0,15.0,11.0,5.0,7.0,3.0,0,Mariners,Home
49.0,15.0,20.0,15.0,5.0,7.0,26.0,9.0,3.0,1.0,1.0,1.0,16.0,1.0,1,Rangers,Away
