AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
34.0,7.0,10.0,7.0,1.0,8.0,9.0,9.0,8.0,2.0,2.0,3.0,9.0,1.0,1,Mets,Home
32.0,2.0,8.0,2.0,3.0,9.0,9.0,8.0,10.0,7.0,7.0,1.0,8.0,4.0,0,Marlins,Away
26.0,2.0,3.0,2.0,2.0,5.0,6.0,9.0,6.0,0.0,0.0,2.0,13.0,0.0,1,Indians,Home
32.0,0.0,6.0,0.0,2.0,13.0,11.0,8.0,3.0,2.0,2.0,2.0,5.0,1.0,0,Rangers,Away
31.0,1.0,6.0,1.0,4.0,3.0,16.0,9.0,15.0,8.0,7.0,3.0,9.0,1.0,0,Tigers,Home
42.0,8.0,15.0,8.0,3.0,9.0,24.0,9.0,6.0,1.0,1.0,4.0,3.0,0.0,1,White,Away
34.0,3.0,8.0,3.0,2.0,12.0,15.0,9.0,7.0,4.0,4.0,2.0,13.0,3.0,0,Rays,Home
34.0,4.0,7.0,4.0,2.0,13.0,12.0,9.0,8.0,3.0,3.0,2.0,12.0,1.0,1,Blue,Away
40.0,7.0,12.0,7.0,3.0,12.0,23.0,9.0,17.0,11.0,11.0,3.0,7.0,4.0,0,Twins,Home
41.0,11.0,17.0,10.0,3.0,7.0,12.0,9.0,12.0,7.0,4.0,3.0,12.0,1.0,1,Braves,Away
35.0,14.0,12.0,14.0,9.0,9.0,22.0,9.0,8.0,3.0,3.0,0.0,12.0,2.0,1,Astros,Home
33.0,3.0,8.0,2.0,0.0,12.0,7.0,8.0,12.0,14.0,14.0,9.0,9.0,2.0,0,Rockies,Away
33.0,10.0,11.0,10.0,1.0,2.0,5.0,9.0,3.0,1.0,1.0,0.0,8.0,0.0,1,Cubs,Home
29.0,1.0,3.0,1.0,0.0,8.0,7.0,8.0,11.0,10.0,10.0,1.0,2.0,3.0,0,Athletics,Away
33.0,2.0,7.0,2.0,1.0,13.0,11.0,9.0,7.0,1.0,1.0,2.0,11.0,1.0,1,Dodgers,Home
32.0,1.0,7.0,1.0,2.0,11.0,11.0,8.2,7.0,2.0,2.0,1.0,13.0,0.0,0,Cardinals,Away
33.0,1.0,6.0,1.0,2.0,11.0,14.0,9.0,9.0,4.0,4.0,3.0,5.0,1.0,0,Giants,Home
33.0,4.0,9.0,4.0,3.0,5.0,18.0,9.0,6.0,1.0,1.0,2.0,11.0,0.0,1,Nationals,Away
30.0,3.0,7.0,3.0,1.0,11.0,11.0,9.0,8.0,2.0,2.0,3.0,13.0,2.0,1,Mariners,Home
34.0,2.0,8.0,2.0,3.0,13.0,15.0,8.0,7.0,3.0,3.0,1.0,11.0,1.0,0,Padres,Away
33.0,2.0,6.0,2.0,2.0,8.0,9.0,9.0,15.0,14.0,12.0,4.0,8.0,5.0,0,Orioles,Home
42.0,14.0,15.0,14.0,4.0,8.0,11.0,9.0,6.0,2.0,2.0,2.0,8.0,1.0,1,Yankees,Away
34.0,3.0,6.0,3.0,3.0,9.0,17.0,9.0,10.0,8.0,7.0,3.0,8.0,2.0,0,Pirates,Home
38.0,8.0,10.0,8.0,3.0,8.0,16.0,9.0,6.0,3.0,1.0,3.0,9.0,1.0,1,Brewers,Away
39.0,5.0,12.0,5.0,5.0,12.0,20.0,10.0,13.0,4.0,4.0,3.0,10.0,0.0,1,Red,Home
42.0,4.0,13.0,4.0,3.0,10.0,19.0,9.1,12.0,5.0,5.0,5.0,12.0,1.0,0,Royals,Away
28.0,6.0,8.0,5.0,5.0,2.0,17.0,9.0,5.0,1.0,1.0,4.0,10.0,1.0,1,D-backs,Home
29.0,1.0,5.0,1.0,4.0,10.0,17.0,8.0,8.0,6.0,5.0,5.0,2.0,0.0,0,Phillies,Away
29.0,5.0,9.0,5.0,3.0,8.0,10.0,9.0,4.0,1.0,1.0,0.0,9.0,1.0,1,Indians,Home
29.0,1.0,4.0,1.0,0.0,9.0,6.0,8.0,9.0,5.0,4.0,3.0,8.0,1.0,0,Rangers,Away
