AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
35.0,6.0,12.0,6.0,5.0,6.0,20.0,9.0,8.0,2.0,2.0,1.0,8.0,1.0,1,Cubs,Home
33.0,2.0,8.0,2.0,1.0,8.0,10.0,8.0,12.0,6.0,6.0,5.0,6.0,2.0,0,Brewers,Away
34.0,2.0,7.0,2.0,4.0,7.0,15.0,9.0,8.0,5.0,5.0,4.0,6.0,2.0,0,Orioles,Home
34.0,5.0,8.0,5.0,4.0,6.0,11.0,9.0,7.0,2.0,2.0,4.0,7.0,1.0,1,Blue,Away
32.0,8.0,10.0,8.0,6.0,6.0,11.0,9.0,9.0,4.0,3.0,3.0,6.0,0.0,1,Pirates,Home
35.0,4.0,9.0,3.0,3.0,6.0,15.0,8.0,10.0,8.0,8.0,6.0,6.0,1.0,0,Mets,Away
56.0,3.0,12.0,2.0,6.0,16.0,28.0,15.0,12.0,4.0,4.0,4.0,15.0,1.0,0,Phillies,Home
53.0,4.0,12.0,4.0,4.0,15.0,17.0,15.0,12.0,3.0,2.0,6.0,16.0,1.0,1,White,Away
26.0,4.0,5.0,4.0,6.0,10.0,16.0,9.0,3.0,2.0,2.0,3.0,8.0,1.0,1,Yankees,Home
30.0,2.0,3.0,2.0,3.0,8.0,7.0,8.0,5.0,4.0,4.0,6.0,10.0,1.0,0,Red,Away
34.0,7.0,12.0,7.0,1.0,6.0,10.0,9.0,5.0,3.0,3.0,6.0,12.0,1.0,1,Indians,Home
31.0,3.0,5.0,3.0,6.0,12.0,21.0,8.0,12.0,7.0,7.0,1.0,6.0,1.0,0,Angels,Away
30.0,2.0,4.0,2.0,1.0,8.0,5.0,9.0,10.0,5.0,5.0,4.0,7.0,1.0,0,Braves,Home
34.0,5.0,10.0,5.0,4.0,7.0,20.0,9.0,4.0,2.0,2.0,1.0,8.0,2.0,1,Reds,Away
35.0,5.0,12.0,5.0,0.0,5.0,17.0,9.0,9.0,4.0,4.0,4.0,11.0,0.0,1,Rangers,Home
36.0,4.0,9.0,3.0,4.0,11.0,19.0,8.0,12.0,5.0,5.0,0.0,5.0,2.0,0,Tigers,Away
35.0,10.0,12.0,10.0,4.0,4.0,12.0,9.0,3.0,2.0,2.0,8.0,10.0,1.0,1,Astros,Home
30.0,2.0,3.0,2.0,8.0,10.0,12.0,8.0,12.0,10.0,10.0,4.0,4.0,6.0,0,Mariners,Away
34.0,11.0,11.0,11.0,5.0,6.0,11.0,9.0,15.0,9.0,9.0,0.0,7.0,3.0,1,Twins,Home
40.0,9.0,15.0,7.0,0.0,7.0,13.0,8.0,11.0,11.0,11.0,5.0,6.0,1.0,0,Royals,Away
33.0,5.0,12.0,5.0,4.0,3.0,17.0,9.0,9.0,4.0,4.0,3.0,8.0,1.0,1,Rockies,Home
35.0,4.0,9.0,4.0,3.0,8.0,15.0,8.0,12.0,5.0,5.0,4.0,3.0,2.0,0,Giants,Away
27.0,0.0,1.0,0.0,5.0,8.0,10.0,9.0,4.0,3.0,3.0,3.0,11.0,1.0,0,D-backs,Home
31.0,3.0,4.0,3.0,3.0,11.0,10.0,9.0,1.0,0.0,0.0,5.0,8.0,0.0,1,Nationals,Away
31.0,2.0,4.0,2.0,0.0,8.0,3.0,9.0,14.0,5.0,4.0,1.0,9.0,0.0,0,Dodgers,Home
38.0,5.0,14.0,5.0,1.0,9.0,17.0,9.0,4.0,2.0,2.0,0.0,8.0,1.0,1,Padres,Away
