AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
33.0,2.0,6.0,2.0,3.0,13.0,13.0,9.0,21.0,19.0,18.0,3.0,5.0,4.0,0,Rockies,Home
46.0,19.0,21.0,19.0,3.0,5.0,12.0,9.0,6.0,2.0,2.0,3.0,13.0,2.0,1,Giants,Away
34.0,2.0,7.0,2.0,2.0,10.0,20.0,9.0,19.0,16.0,16.0,5.0,7.0,4.0,0,Phillies,Home
44.0,16.0,19.0,15.0,5.0,7.0,17.0,9.0,7.0,2.0,2.0,2.0,10.0,1.0,1,Dodgers,Away
34.0,4.0,8.0,4.0,5.0,10.0,13.0,9.0,11.0,5.0,5.0,3.0,9.0,3.0,0,Yankees,Home
35.0,5.0,11.0,5.0,3.0,9.0,15.0,9.0,8.0,4.0,4.0,5.0,10.0,3.0,1,Rays,Away
36.0,10.0,13.0,10.0,8.0,8.0,19.0,9.0,13.0,8.0,8.0,0.0,2.0,1.0,1,Red,Home
40.0,8.0,13.0,8.0,0.0,2.0,13.0,8.0,13.0,10.0,10.0,8.0,8.0,1.0,0,Blue,Away
37.0,8.0,14.0,8.0,2.0,10.0,12.0,9.0,11.0,6.0,6.0,4.0,6.0,4.0,1,Indians,Home
35.0,6.0,11.0,6.0,4.0,6.0,16.0,8.0,14.0,8.0,8.0,2.0,10.0,3.0,0,Tigers,Away
34.0,3.0,9.0,2.0,4.0,14.0,19.0,9.0,10.0,6.0,5.0,2.0,7.0,3.0,0,Cubs,Home
38.0,6.0,10.0,5.0,2.0,7.0,16.0,9.0,9.0,3.0,3.0,4.0,14.0,1.0,1,Reds,Away
34.0,2.0,7.0,2.0,2.0,8.0,15.0,9.0,9.0,4.0,4.0,3.0,7.0,1.0,0,Brewers,Home
35.0,4.0,9.0,4.0,3.0,7.0,17.0,9.0,7.0,2.0,2.0,2.0,8.0,1.0,1,Braves,Away
33.0,5.0,10.0,5.0,3.0,6.0,22.0,9.0,8.0,2.0,2.0,5.0,13.0,1.0,1,Royals,Home
34.0,2.0,8.0,1.0,5.0,13.0,20.0,8.0,10.0,5.0,5.0,3.0,6.0,0.0,0,White,Away
30.0,7.0,8.0,6.0,4.0,10.0,9.0,9.0,8.0,0.0,0.0,0.0,3.0,0.0,1,Cardinals,Home
32.0,0.0,8.0,0.0,0.0,3.0,11.0,8.0,8.0,7.0,6.0,4.0,10.0,2.0,0,Pirates,Away
30.0,1.0,5.0,1.0,2.0,10.0,12.0,9.0,6.0,2.0,2.0,3.0,9.0,2.0,0,Rockies,Home
32.0,2.0,6.0,2.0,3.0,9.0,13.0,9.0,5.0,1.0,1.0,2.0,10.0,0.0,1,Giants,Away
34.0,9.0,10.0,8.0,4.0,7.0,16.0,9.0,9.0,6.0,6.0,9.0,6.0,2.0,1,Angels,Home
34.0,6.0,9.0,5.0,9.0,6.0,17.0,8.0,10.0,9.0,5.0,4.0,7.0,1.0,0,Astros,Away
