AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,5.0,6.0,4.0,5.0,6.0,7.0,9.0,13.0,9.0,7.0,8.0,8.0,0.0,0,Red,Home
39.0,9.0,13.0,8.0,8.0,8.0,30.0,9.0,6.0,5.0,5.0,5.0,6.0,1.0,1,Orioles,Away
29.0,4.0,7.0,4.0,1.0,7.0,9.0,9.0,1.0,0.0,0.0,0.0,9.0,0.0,1,Yankees,Home
29.0,0.0,1.0,0.0,0.0,9.0,3.0,8.0,7.0,4.0,2.0,1.0,7.0,1.0,0,White,Away
26.0,4.0,5.0,4.0,7.0,7.0,17.0,9.0,10.0,3.0,3.0,1.0,9.0,1.0,1,Twins,Home
35.0,3.0,10.0,3.0,1.0,9.0,18.0,8.0,5.0,4.0,4.0,7.0,7.0,0.0,0,Tigers,Away
35.0,5.0,9.0,5.0,7.0,11.0,23.0,9.0,9.0,6.0,5.0,8.0,5.0,0.0,0,Cubs,Home
33.0,6.0,9.0,5.0,8.0,5.0,20.0,9.0,9.0,5.0,5.0,7.0,11.0,0.0,1,Angels,Away
28.0,3.0,5.0,3.0,3.0,14.0,9.0,9.0,8.0,1.0,1.0,1.0,8.0,0.0,1,Blue,Home
33.0,1.0,8.0,1.0,1.0,8.0,14.0,8.0,5.0,3.0,3.0,3.0,14.0,0.0,0,Rays,Away
28.0,3.0,6.0,3.0,2.0,10.0,8.0,9.0,8.0,2.0,2.0,2.0,3.0,1.0,1,Nationals,Home
34.0,2.0,8.0,2.0,2.0,3.0,16.0,8.0,6.0,3.0,3.0,2.0,10.0,2.0,0,Pirates,Away
31.0,5.0,11.0,5.0,3.0,7.0,21.0,9.0,6.0,2.0,2.0,0.0,10.0,1.0,1,Giants,Home
32.0,2.0,6.0,2.0,0.0,10.0,11.0,8.0,11.0,5.0,5.0,3.0,7.0,1.0,0,Rockies,Away
40.0,10.0,18.0,10.0,0.0,7.0,14.0,9.0,6.0,3.0,3.0,4.0,11.0,0.0,1,Marlins,Home
33.0,3.0,6.0,3.0,4.0,11.0,15.0,8.0,18.0,10.0,10.0,0.0,7.0,3.0,0,Phillies,Away
30.0,5.0,6.0,5.0,3.0,5.0,11.0,9.0,9.0,2.0,2.0,3.0,9.0,1.0,1,Reds,Home
34.0,2.0,9.0,2.0,3.0,9.0,22.0,8.0,6.0,5.0,5.0,3.0,5.0,2.0,0,Cardinals,Away
29.0,3.0,7.0,3.0,1.0,5.0,7.0,9.0,2.0,0.0,0.0,2.0,8.0,0.0,1,Royals,Home
28.0,0.0,2.0,0.0,2.0,8.0,6.0,8.0,7.0,3.0,3.0,1.0,5.0,1.0,0,Indians,Away
35.0,11.0,13.0,11.0,7.0,7.0,16.0,9.0,11.0,7.0,6.0,5.0,9.0,0.0,1,Braves,Home
35.0,7.0,11.0,6.0,5.0,9.0,15.0,8.0,13.0,11.0,11.0,7.0,7.0,2.0,0,Mets,Away
35.0,4.0,10.0,4.0,4.0,9.0,21.0,9.0,10.0,5.0,5.0,1.0,10.0,2.0,0,D-backs,Home
35.0,5.0,10.0,5.0,1.0,10.0,8.0,9.0,10.0,4.0,4.0,4.0,9.0,0.0,1,Padres,Away
32.0,1.0,8.0,1.0,0.0,6.0,11.0,9.0,9.0,4.0,4.0,5.0,10.0,2.0,0,Dodgers,Home
35.0,4.0,9.0,4.0,5.0,10.0,18.0,9.0,8.0,1.0,1.0,0.0,6.0,1.0,1,Brewers,Away
31.0,1.0,4.0,1.0,0.0,13.0,5.0,9.0,6.0,3.0,3.0,1.0,8.0,2.0,0,Mariners,Home
32.0,3.0,6.0,3.0,1.0,8.0,10.0,9.0,4.0,1.0,1.0,0.0,13.0,1.0,1,Astros,Away
