AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
35.0,3.0,8.0,3.0,2.0,8.0,16.0,9.0,7.0,2.0,2.0,1.0,9.0,0.0,1,Nationals,Home
31.0,2.0,7.0,2.0,1.0,9.0,13.0,8.2,8.0,3.0,2.0,2.0,8.0,1.0,0,Marlins,Away
29.0,5.0,7.0,5.0,3.0,6.0,9.0,9.0,6.0,1.0,1.0,2.0,13.0,0.0,1,Pirates,Home
31.0,1.0,6.0,1.0,2.0,13.0,12.0,8.0,7.0,5.0,5.0,3.0,6.0,1.0,0,Cubs,Away
33.0,6.0,8.0,6.0,6.0,10.0,13.0,9.0,15.0,10.0,10.0,2.0,8.0,3.0,0,Blue,Home
41.0,10.0,15.0,10.0,2.0,8.0,14.0,9.0,8.0,6.0,6.0,6.0,10.0,1.0,1,Red,Away
40.0,5.0,10.0,4.0,1.0,6.0,9.0,11.0,6.0,4.0,4.0,2.0,9.0,3.0,1,Reds,Home
37.0,4.0,6.0,4.0,2.0,9.0,7.0,10.2,10.0,5.0,4.0,1.0,6.0,2.0,0,Brewers,Away
33.0,4.0,11.0,4.0,3.0,5.0,19.0,9.0,6.0,2.0,2.0,2.0,10.0,0.0,1,Mets,Home
31.0,2.0,6.0,2.0,2.0,10.0,14.0,8.0,11.0,4.0,3.0,3.0,5.0,1.0,0,Yankees,Away
32.0,6.0,8.0,6.0,4.0,10.0,13.0,9.0,6.0,3.0,3.0,1.0,16.0,2.0,1,Rays,Home
33.0,3.0,6.0,3.0,1.0,16.0,4.0,8.0,8.0,6.0,6.0,4.0,10.0,1.0,0,Orioles,Away
30.0,0.0,4.0,0.0,3.0,11.0,11.0,9.0,7.0,2.0,2.0,3.0,4.0,0.0,0,Braves,Home
33.0,2.0,7.0,2.0,3.0,4.0,15.0,9.0,4.0,0.0,0.0,3.0,11.0,0.0,1,Phillies,Away
30.0,4.0,6.0,3.0,3.0,10.0,11.0,9.0,8.0,9.0,9.0,11.0,9.0,1.0,0,Rangers,Home
36.0,9.0,8.0,9.0,11.0,9.0,32.0,9.0,6.0,4.0,3.0,3.0,10.0,1.0,1,Angels,Away
39.0,8.0,13.0,6.0,4.0,10.0,20.0,9.0,13.0,9.0,8.0,2.0,10.0,2.0,0,Rockies,Home
39.0,9.0,13.0,9.0,2.0,10.0,16.0,9.0,13.0,8.0,6.0,4.0,10.0,0.0,1,Astros,Away
36.0,5.0,12.0,5.0,1.0,7.0,11.0,9.0,13.0,9.0,8.0,4.0,6.0,0.0,0,Royals,Home
39.0,9.0,13.0,8.0,4.0,6.0,24.0,9.0,12.0,5.0,5.0,1.0,7.0,2.0,1,Indians,Away
31.0,8.0,8.0,8.0,6.0,6.0,11.0,9.0,10.0,6.0,6.0,1.0,10.0,3.0,1,Athletics,Home
36.0,6.0,10.0,5.0,1.0,10.0,8.0,8.0,8.0,8.0,7.0,6.0,6.0,3.0,0,Twins,Away
32.0,5.0,7.0,5.0,8.0,5.0,10.0,9.0,8.0,4.0,4.0,4.0,10.0,1.0,1,Dodgers,Home
34.0,4.0,8.0,4.0,4.0,10.0,14.0,8.2,7.0,5.0,5.0,8.0,5.0,1.0,0,D-backs,Away
34.0,4.0,9.0,4.0,0.0,6.0,10.0,9.0,17.0,10.0,10.0,4.0,11.0,3.0,0,Padres,Home
44.0,10.0,17.0,10.0,4.0,11.0,28.0,9.0,9.0,4.0,4.0,0.0,6.0,2.0,1,Giants,Away
32.0,5.0,8.0,5.0,6.0,12.0,15.0,9.0,9.0,4.0,4.0,2.0,8.0,3.0,1,Mariners,Home
34.0,4.0,9.0,4.0,2.0,8.0,9.0,8.0,8.0,5.0,5.0,6.0,12.0,2.0,0,Cardinals,Away
