AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
30.0,0.0,7.0,0.0,4.0,5.0,17.0,9.0,8.0,7.0,6.0,7.0,8.0,1.0,0,Cubs,Home
33.0,7.0,8.0,7.0,7.0,8.0,19.0,9.0,7.0,0.0,0.0,4.0,5.0,0.0,1,Brewers,Away
33.0,3.0,5.0,3.0,1.0,9.0,6.0,9.0,12.0,8.0,8.0,3.0,8.0,1.0,0,Orioles,Home
38.0,8.0,12.0,8.0,3.0,8.0,16.0,9.0,5.0,3.0,3.0,1.0,9.0,2.0,1,Angels,Away
28.0,4.0,4.0,4.0,7.0,6.0,12.0,9.0,6.0,3.0,3.0,2.0,9.0,1.0,1,Blue,Home
32.0,3.0,6.0,3.0,2.0,9.0,11.0,8.0,4.0,4.0,4.0,7.0,6.0,2.0,0,White,Away
41.0,14.0,15.0,14.0,3.0,7.0,16.0,9.0,8.0,1.0,1.0,1.0,8.0,0.0,1,Red,Home
35.0,1.0,8.0,1.0,1.0,8.0,17.0,8.0,15.0,14.0,13.0,3.0,7.0,3.0,0,Mariners,Away
36.0,11.0,15.0,10.0,8.0,8.0,18.0,9.0,10.0,2.0,2.0,3.0,12.0,0.0,1,Mets,Home
37.0,2.0,10.0,2.0,3.0,12.0,16.0,8.0,15.0,11.0,11.0,8.0,8.0,3.0,0,Marlins,Away
33.0,3.0,8.0,3.0,4.0,11.0,19.0,9.0,7.0,4.0,3.0,2.0,12.0,0.0,0,Rays,Home
34.0,4.0,7.0,3.0,2.0,12.0,19.0,9.0,8.0,3.0,3.0,4.0,11.0,2.0,1,Yankees,Away
29.0,3.0,6.0,3.0,2.0,8.0,9.0,9.0,2.0,0.0,0.0,2.0,10.0,0.0,1,Astros,Home
28.0,0.0,2.0,0.0,2.0,10.0,8.0,8.0,6.0,3.0,3.0,2.0,8.0,3.0,0,Rangers,Away
30.0,6.0,7.0,6.0,7.0,5.0,18.0,9.0,3.0,0.0,0.0,0.0,8.0,0.0,1,Twins,Home
30.0,0.0,3.0,0.0,0.0,8.0,8.0,8.0,7.0,6.0,6.0,7.0,5.0,2.0,0,Tigers,Away
29.0,5.0,8.0,5.0,5.0,7.0,10.0,9.0,4.0,1.0,1.0,5.0,12.0,0.0,1,Royals,Home
30.0,1.0,4.0,1.0,5.0,12.0,18.0,8.0,8.0,5.0,4.0,5.0,7.0,3.0,0,Phillies,Away
35.0,1.0,10.0,1.0,2.0,7.0,19.0,9.0,9.0,2.0,2.0,1.0,11.0,1.0,0,Cardinals,Home
34.0,2.0,9.0,2.0,1.0,11.0,13.0,9.0,10.0,1.0,1.0,2.0,7.0,0.0,1,Pirates,Away
40.0,12.0,17.0,12.0,3.0,9.0,16.0,9.0,12.0,2.0,2.0,0.0,9.0,0.0,1,Rockies,Home
40.0,2.0,12.0,2.0,0.0,9.0,22.0,8.0,17.0,12.0,12.0,3.0,9.0,1.0,0,Padres,Away
41.0,4.0,10.0,3.0,6.0,6.0,20.0,12.0,10.0,3.0,3.0,2.0,12.0,0.0,1,Athletics,Home
42.0,3.0,10.0,2.0,2.0,12.0,12.0,11.0,10.0,4.0,4.0,6.0,6.0,2.0,0,Indians,Away
32.0,1.0,4.0,1.0,2.0,8.0,11.0,9.0,7.0,2.0,2.0,1.0,8.0,1.0,0,D-backs,Home
32.0,2.0,7.0,2.0,1.0,8.0,10.0,9.0,4.0,1.0,1.0,2.0,8.0,0.0,1,Braves,Away
33.0,5.0,9.0,5.0,4.0,6.0,15.0,9.0,4.0,0.0,0.0,2.0,7.0,0.0,1,Dodgers,Home
31.0,0.0,4.0,0.0,2.0,7.0,15.0,8.0,9.0,5.0,5.0,4.0,6.0,3.0,0,Nationals,Away
31.0,0.0,4.0,0.0,7.0,12.0,19.0,9.0,9.0,7.0,3.0,4.0,6.0,0.0,0,Giants,Home
38.0,7.0,9.0,7.0,4.0,6.0,21.0,9.0,4.0,0.0,0.0,7.0,12.0,0.0,1,Reds,Away
