AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
39.0,11.0,18.0,11.0,4.0,3.0,20.0,9.0,9.0,4.0,4.0,1.0,8.0,0.0,1,Blue,Home
34.0,4.0,9.0,4.0,1.0,8.0,9.0,8.0,18.0,11.0,11.0,4.0,3.0,3.0,0,Royals,Away
46.0,18.0,23.0,18.0,3.0,7.0,22.0,9.0,13.0,5.0,5.0,3.0,7.0,1.0,1,Pirates,Home
38.0,5.0,13.0,5.0,3.0,7.0,15.0,8.0,23.0,18.0,17.0,3.0,7.0,5.0,0,Cubs,Away
36.0,6.0,10.0,6.0,1.0,8.0,8.0,9.0,9.0,8.0,8.0,6.0,11.0,3.0,0,Reds,Home
35.0,8.0,9.0,8.0,6.0,11.0,11.0,9.0,10.0,6.0,6.0,1.0,8.0,3.0,1,Brewers,Away
32.0,6.0,10.0,6.0,4.0,5.0,18.0,9.0,9.0,3.0,3.0,3.0,11.0,0.0,1,Rays,Home
35.0,3.0,9.0,3.0,3.0,11.0,18.0,8.0,10.0,6.0,6.0,4.0,5.0,1.0,0,Orioles,Away
33.0,2.0,5.0,2.0,2.0,7.0,16.0,9.0,14.0,13.0,13.0,3.0,6.0,3.0,0,Padres,Home
41.0,13.0,14.0,12.0,3.0,6.0,15.0,9.0,5.0,2.0,2.0,2.0,7.0,0.0,1,Giants,Away
