AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
34.0,0.0,7.0,0.0,0.0,9.0,15.0,9.0,11.0,9.0,8.0,4.0,12.0,5.0,0,White,Home
35.0,9.0,11.0,8.0,4.0,12.0,10.0,9.0,7.0,0.0,0.0,0.0,9.0,0.0,1,Indians,Away
30.0,1.0,3.0,1.0,1.0,7.0,5.0,9.0,11.0,3.0,3.0,1.0,11.0,0.0,0,Reds,Home
37.0,3.0,11.0,3.0,1.0,11.0,13.0,9.0,3.0,1.0,1.0,1.0,7.0,1.0,1,Cubs,Away
30.0,2.0,5.0,2.0,1.0,9.0,10.0,9.0,8.0,6.0,6.0,5.0,5.0,2.0,0,Nationals,Home
34.0,6.0,8.0,6.0,5.0,5.0,14.0,9.0,5.0,2.0,2.0,1.0,9.0,1.0,1,Mets,Away
30.0,1.0,5.0,1.0,5.0,10.0,14.0,9.0,12.0,6.0,6.0,5.0,5.0,2.0,0,Phillies,Home
36.0,6.0,12.0,6.0,5.0,5.0,22.0,9.0,5.0,1.0,0.0,5.0,10.0,0.0,1,Brewers,Away
42.0,4.0,9.0,4.0,4.0,10.0,18.0,11.0,6.0,5.0,5.0,2.0,24.0,2.0,0,Red,Home
39.0,5.0,6.0,5.0,2.0,24.0,8.0,11.0,9.0,4.0,3.0,4.0,10.0,3.0,1,Rockies,Away
31.0,4.0,7.0,4.0,4.0,9.0,11.0,9.0,14.0,11.0,10.0,5.0,10.0,3.0,0,Tigers,Home
41.0,11.0,14.0,10.0,5.0,10.0,18.0,9.0,7.0,4.0,4.0,4.0,9.0,1.0,1,Astros,Away
31.0,0.0,6.0,0.0,0.0,8.0,8.0,9.0,8.0,4.0,4.0,7.0,14.0,1.0,0,Marlins,Home
34.0,4.0,8.0,4.0,7.0,14.0,16.0,9.0,6.0,0.0,0.0,0.0,8.0,0.0,1,Rays,Away
27.0,3.0,3.0,3.0,6.0,11.0,8.0,9.0,14.0,14.0,14.0,7.0,6.0,4.0,0,Braves,Home
39.0,14.0,14.0,13.0,7.0,6.0,14.0,9.0,3.0,3.0,3.0,6.0,11.0,0.0,1,Cardinals,Away
31.0,4.0,7.0,4.0,3.0,7.0,14.0,9.0,11.0,3.0,3.0,3.0,7.0,0.0,1,Twins,Home
34.0,3.0,11.0,2.0,3.0,7.0,12.0,8.0,7.0,4.0,4.0,3.0,7.0,1.0,0,Angels,Away
37.0,11.0,14.0,11.0,4.0,3.0,19.0,9.0,10.0,5.0,5.0,2.0,12.0,0.0,1,Royals,Home
37.0,5.0,10.0,5.0,2.0,12.0,17.0,8.0,14.0,11.0,11.0,4.0,3.0,0.0,0,Rangers,Away
30.0,2.0,4.0,2.0,2.0,9.0,7.0,9.0,11.0,6.0,6.0,3.0,8.0,3.0,0,D-backs,Home
38.0,6.0,11.0,6.0,3.0,8.0,20.0,9.0,4.0,2.0,2.0,2.0,9.0,1.0,1,Pirates,Away
33.0,3.0,5.0,3.0,6.0,11.0,14.0,9.0,10.0,7.0,7.0,6.0,8.0,2.0,0,Giants,Home
36.0,7.0,10.0,7.0,6.0,8.0,16.0,9.0,5.0,3.0,3.0,6.0,11.0,1.0,1,Blue,Away
32.0,6.0,8.0,6.0,1.0,5.0,9.0,9.0,7.0,3.0,3.0,1.0,7.0,2.0,1,Dodgers,Home
31.0,3.0,7.0,3.0,1.0,7.0,6.0,8.0,8.0,6.0,3.0,1.0,5.0,2.0,0,Padres,Away
30.0,4.0,7.0,4.0,3.0,9.0,9.0,9.0,6.0,3.0,1.0,3.0,11.0,0.0,1,Mariners,Home
33.0,3.0,6.0,1.0,3.0,11.0,12.0,8.0,7.0,4.0,4.0,3.0,9.0,3.0,0,Athletics,Away
