AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
33.0,9.0,10.0,9.0,11.0,8.0,24.0,9.0,6.0,5.0,5.0,2.0,8.0,2.0,1,Red,Home
34.0,5.0,6.0,5.0,2.0,8.0,7.0,8.0,10.0,9.0,9.0,11.0,8.0,2.0,0,Mariners,Away
34.0,3.0,7.0,3.0,5.0,8.0,13.0,9.0,10.0,5.0,5.0,1.0,8.0,4.0,0,Twins,Home
38.0,5.0,10.0,5.0,1.0,8.0,15.0,9.0,7.0,3.0,3.0,5.0,8.0,2.0,1,Tigers,Away
29.0,1.0,2.0,1.0,5.0,8.0,9.0,9.0,4.0,2.0,2.0,1.0,11.0,0.0,0,Cardinals,Home
31.0,2.0,4.0,2.0,1.0,11.0,7.0,9.0,2.0,1.0,1.0,5.0,8.0,0.0,1,Pirates,Away
48.0,2.0,9.0,2.0,10.0,13.0,28.0,15.0,4.0,1.0,1.0,9.0,17.0,1.0,1,Cubs,Home
43.0,1.0,4.0,1.0,9.0,17.0,18.0,14.1,9.0,2.0,2.0,10.0,13.0,1.0,0,Brewers,Away
32.0,2.0,8.0,2.0,3.0,5.0,14.0,9.0,11.0,7.0,6.0,5.0,8.0,1.0,0,Blue,Home
37.0,7.0,11.0,7.0,5.0,8.0,24.0,9.0,8.0,2.0,2.0,3.0,5.0,1.0,1,White,Away
36.0,2.0,9.0,2.0,3.0,12.0,17.0,9.0,10.0,7.0,7.0,3.0,7.0,2.0,0,Orioles,Home
36.0,7.0,10.0,7.0,3.0,7.0,20.0,9.0,9.0,2.0,2.0,3.0,12.0,1.0,1,Angels,Away
29.0,3.0,4.0,2.0,4.0,11.0,8.0,9.0,10.0,2.0,2.0,3.0,10.0,1.0,1,Athletics,Home
34.0,2.0,10.0,2.0,3.0,10.0,23.0,8.1,4.0,3.0,1.0,4.0,11.0,0.0,0,Indians,Away
33.0,7.0,10.0,7.0,5.0,6.0,17.0,9.0,5.0,2.0,2.0,1.0,6.0,1.0,1,Rays,Home
29.0,2.0,5.0,2.0,1.0,6.0,7.0,8.0,10.0,7.0,7.0,5.0,6.0,3.0,0,Yankees,Away
31.0,4.0,9.0,4.0,3.0,3.0,16.0,9.0,6.0,1.0,1.0,2.0,10.0,0.0,1,Mets,Home
33.0,1.0,6.0,1.0,2.0,10.0,11.0,8.0,9.0,4.0,4.0,3.0,3.0,2.0,0,Marlins,Away
29.0,0.0,4.0,0.0,0.0,7.0,8.0,9.0,9.0,7.0,6.0,7.0,5.0,0.0,0,Royals,Home
36.0,7.0,9.0,6.0,7.0,5.0,26.0,9.0,4.0,0.0,0.0,0.0,7.0,0.0,1,Phillies,Away
34.0,4.0,8.0,4.0,3.0,8.0,19.0,9.0,13.0,6.0,6.0,1.0,6.0,2.0,0,D-backs,Home
38.0,6.0,13.0,6.0,1.0,6.0,13.0,9.0,8.0,4.0,4.0,3.0,8.0,2.0,1,Braves,Away
32.0,3.0,6.0,3.0,1.0,8.0,5.0,9.0,9.0,4.0,4.0,3.0,12.0,2.0,0,Rockies,Home
34.0,4.0,9.0,4.0,3.0,12.0,18.0,9.0,6.0,3.0,3.0,1.0,8.0,1.0,1,Padres,Away
38.0,11.0,13.0,11.0,5.0,4.0,18.0,9.0,9.0,4.0,4.0,1.0,18.0,2.0,1,Astros,Home
35.0,4.0,9.0,4.0,1.0,18.0,10.0,8.0,13.0,11.0,8.0,5.0,4.0,2.0,0,Rangers,Away
37.0,8.0,15.0,8.0,3.0,6.0,13.0,9.0,7.0,3.0,3.0,3.0,7.0,1.0,1,Twins,Home
33.0,3.0,7.0,3.0,3.0,7.0,13.0,8.0,15.0,8.0,8.0,3.0,6.0,2.0,0,Tigers,Away
35.0,4.0,9.0,4.0,2.0,10.0,11.0,9.0,10.0,5.0,5.0,3.0,10.0,2.0,0,Giants,Home
37.0,5.0,10.0,5.0,3.0,10.0,16.0,9.0,9.0,4.0,4.0,2.0,10.0,1.0,1,Reds,Away
31.0,2.0,5.0,2.0,2.0,8.0,11.0,9.0,7.0,5.0,0.0,2.0,10.0,1.0,0,Dodgers,Home
33.0,5.0,7.0,5.0,2.0,10.0,14.0,9.0,5.0,2.0,2.0,2.0,8.0,1.0,1,Nationals,Away
