AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
40.0,12.0,15.0,12.0,3.0,7.0,18.0,9.0,9.0,5.0,4.0,0.0,9.0,1.0,1,Yankees,Home
38.0,5.0,9.0,5.0,0.0,9.0,10.0,8.0,15.0,12.0,8.0,3.0,7.0,3.0,0,Mets,Away
33.0,4.0,11.0,4.0,4.0,7.0,18.0,9.0,5.0,2.0,2.0,4.0,13.0,1.0,1,Orioles,Home
31.0,2.0,5.0,2.0,4.0,13.0,11.0,8.0,11.0,4.0,4.0,4.0,7.0,0.0,0,Blue,Away
34.0,7.0,12.0,6.0,4.0,5.0,18.0,9.0,8.0,4.0,4.0,5.0,6.0,1.0,1,Phillies,Home
34.0,4.0,8.0,4.0,5.0,6.0,21.0,8.0,12.0,7.0,6.0,4.0,5.0,1.0,0,D-backs,Away
36.0,4.0,9.0,4.0,3.0,8.0,14.0,9.0,11.0,10.0,9.0,5.0,6.0,3.0,0,Yankees,Home
38.0,10.0,11.0,10.0,5.0,6.0,14.0,9.0,9.0,4.0,4.0,3.0,8.0,1.0,1,Mets,Away
36.0,5.0,9.0,5.0,4.0,12.0,18.0,9.0,9.0,9.0,8.0,8.0,15.0,1.0,0,Red,Home
35.0,9.0,9.0,9.0,8.0,15.0,16.0,9.0,9.0,5.0,5.0,4.0,12.0,2.0,1,Rangers,Away
34.0,2.0,6.0,2.0,4.0,12.0,12.0,10.0,7.0,1.0,1.0,6.0,10.0,0.0,1,Indians,Home
34.0,1.0,7.0,1.0,6.0,10.0,20.0,9.1,6.0,2.0,2.0,4.0,12.0,1.0,0,Reds,Away
31.0,3.0,4.0,2.0,3.0,10.0,10.0,9.0,7.0,4.0,2.0,1.0,8.0,2.0,0,Rays,Home
33.0,4.0,7.0,4.0,1.0,8.0,12.0,9.0,4.0,3.0,3.0,3.0,10.0,1.0,1,Athletics,Away
32.0,1.0,5.0,1.0,2.0,9.0,14.0,9.0,13.0,7.0,7.0,5.0,11.0,1.0,0,Marlins,Home
39.0,7.0,13.0,6.0,5.0,11.0,19.0,9.0,5.0,1.0,1.0,2.0,9.0,0.0,1,Cardinals,Away
33.0,7.0,10.0,7.0,3.0,11.0,10.0,8.0,9.0,5.0,5.0,4.0,8.0,0.0,1,Braves,Home
32.0,5.0,9.0,5.0,4.0,8.0,20.0,8.0,10.0,7.0,7.0,3.0,11.0,5.0,0,Pirates,Away
36.0,10.0,12.0,10.0,4.0,10.0,9.0,9.0,11.0,8.0,8.0,3.0,8.0,3.0,1,Astros,Home
37.0,8.0,11.0,8.0,3.0,8.0,14.0,8.0,12.0,10.0,10.0,4.0,10.0,4.0,0,Brewers,Away
32.0,6.0,9.0,5.0,1.0,7.0,11.0,9.0,10.0,5.0,5.0,4.0,10.0,1.0,1,Twins,Home
37.0,5.0,10.0,5.0,4.0,10.0,19.0,8.0,9.0,6.0,6.0,1.0,7.0,2.0,0,Mariners,Away
31.0,7.0,7.0,7.0,2.0,7.0,4.0,9.0,9.0,5.0,5.0,5.0,5.0,2.0,1,White,Home
36.0,5.0,9.0,5.0,5.0,5.0,18.0,8.0,7.0,7.0,7.0,2.0,7.0,2.0,0,Nationals,Away
33.0,3.0,9.0,3.0,2.0,5.0,10.0,9.0,5.0,2.0,2.0,1.0,7.0,2.0,1,Royals,Home
32.0,2.0,5.0,2.0,1.0,7.0,8.0,8.0,9.0,3.0,3.0,2.0,5.0,1.0,0,Tigers,Away
32.0,10.0,13.0,9.0,7.0,4.0,17.0,9.0,6.0,3.0,3.0,3.0,5.0,1.0,1,Rockies,Home
32.0,3.0,6.0,3.0,3.0,5.0,11.0,8.0,13.0,10.0,9.0,7.0,4.0,1.0,0,Cubs,Away
30.0,6.0,9.0,6.0,4.0,10.0,15.0,9.0,7.0,5.0,5.0,3.0,12.0,2.0,1,Giants,Home
34.0,5.0,7.0,5.0,3.0,12.0,12.0,8.0,9.0,6.0,6.0,4.0,10.0,1.0,0,Padres,Away
30.0,5.0,6.0,5.0,4.0,9.0,11.0,9.0,12.0,3.0,3.0,5.0,10.0,3.0,1,Angels,Home
39.0,3.0,12.0,3.0,5.0,10.0,28.0,8.0,6.0,5.0,5.0,4.0,9.0,2.0,0,Dodgers,Away
