AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
29.0,7.0,9.0,7.0,4.0,5.0,14.0,9.0,7.0,3.0,3.0,0.0,9.0,0.0,1,Red,Home
34.0,3.0,7.0,3.0,0.0,9.0,11.0,8.0,9.0,7.0,7.0,4.0,5.0,2.0,0,Athletics,Away
27.0,3.0,4.0,3.0,3.0,7.0,9.0,9.0,8.0,2.0,2.0,2.0,5.0,0.0,1,Royals,Home
34.0,2.0,8.0,2.0,2.0,5.0,16.0,8.0,4.0,3.0,3.0,3.0,7.0,1.0,0,Rays,Away
35.0,5.0,7.0,5.0,3.0,8.0,14.0,9.0,8.0,7.0,7.0,5.0,7.0,0.0,0,Rangers,Home
34.0,7.0,8.0,7.0,5.0,7.0,17.0,9.0,7.0,5.0,4.0,3.0,8.0,3.0,1,Pirates,Away
29.0,3.0,5.0,2.0,2.0,10.0,7.0,9.0,7.0,2.0,2.0,5.0,3.0,1.0,1,D-backs,Home
32.0,2.0,7.0,2.0,5.0,3.0,16.0,8.0,5.0,3.0,3.0,2.0,10.0,1.0,0,Yankees,Away
36.0,4.0,7.0,4.0,3.0,10.0,17.0,9.0,11.0,5.0,5.0,6.0,12.0,0.0,0,White,Home
37.0,5.0,11.0,4.0,6.0,12.0,28.0,9.0,7.0,4.0,1.0,3.0,10.0,0.0,1,Orioles,Away
29.0,0.0,1.0,0.0,1.0,12.0,8.0,9.0,10.0,11.0,8.0,5.0,8.0,3.0,0,Mariners,Home
34.0,11.0,10.0,11.0,5.0,8.0,13.0,9.0,1.0,0.0,0.0,1.0,12.0,0.0,1,Cubs,Away
36.0,1.0,9.0,1.0,1.0,7.0,16.0,9.0,11.0,5.0,5.0,3.0,10.0,0.0,0,Nationals,Home
37.0,5.0,11.0,5.0,3.0,10.0,22.0,9.0,9.0,1.0,1.0,1.0,7.0,0.0,1,Cardinals,Away
35.0,7.0,15.0,7.0,1.0,7.0,10.0,9.0,12.0,3.0,3.0,3.0,11.0,1.0,1,Phillies,Home
38.0,3.0,12.0,3.0,3.0,11.0,21.0,8.0,15.0,7.0,7.0,1.0,7.0,1.0,0,Tigers,Away
32.0,0.0,5.0,0.0,1.0,10.0,11.0,9.0,4.0,1.0,1.0,3.0,8.0,1.0,0,Mets,Home
31.0,1.0,4.0,1.0,3.0,8.0,14.0,9.0,5.0,0.0,0.0,1.0,10.0,0.0,1,Reds,Away
31.0,4.0,10.0,4.0,1.0,5.0,9.0,9.0,6.0,2.0,2.0,3.0,11.0,2.0,1,Marlins,Home
31.0,2.0,6.0,2.0,3.0,11.0,7.0,8.0,10.0,4.0,4.0,1.0,5.0,0.0,0,Indians,Away
31.0,5.0,8.0,5.0,2.0,4.0,13.0,9.0,5.0,1.0,1.0,2.0,11.0,1.0,1,Braves,Home
32.0,1.0,5.0,1.0,2.0,11.0,17.0,8.0,8.0,5.0,5.0,2.0,4.0,1.0,0,Padres,Away
33.0,4.0,8.0,4.0,8.0,7.0,26.0,9.0,10.0,11.0,11.0,7.0,11.0,3.0,0,Brewers,Home
34.0,11.0,10.0,10.0,7.0,11.0,15.0,9.0,8.0,4.0,4.0,8.0,7.0,1.0,1,Rockies,Away
30.0,6.0,7.0,6.0,1.0,4.0,7.0,9.0,7.0,2.0,2.0,2.0,8.0,0.0,1,Twins,Home
33.0,2.0,7.0,2.0,2.0,8.0,12.0,8.0,7.0,6.0,6.0,1.0,4.0,1.0,0,Astros,Away
30.0,2.0,7.0,2.0,0.0,7.0,7.0,9.0,6.0,1.0,1.0,2.0,12.0,0.0,1,Giants,Home
34.0,1.0,6.0,1.0,2.0,12.0,19.0,8.2,7.0,2.0,2.0,0.0,7.0,0.0,0,Dodgers,Away
32.0,6.0,8.0,5.0,7.0,5.0,30.0,9.0,6.0,3.0,3.0,1.0,12.0,2.0,1,Angels,Home
36.0,3.0,6.0,3.0,1.0,12.0,12.0,8.0,8.0,6.0,4.0,7.0,5.0,0.0,0,Blue,Away
33.0,8.0,11.0,8.0,4.0,4.0,17.0,9.0,7.0,2.0,2.0,1.0,7.0,2.0,1,Royals,Home
34.0,2.0,7.0,2.0,1.0,7.0,11.0,8.0,11.0,8.0,8.0,4.0,4.0,1.0,0,Rays,Away
36.0,7.0,9.0,7.0,4.0,16.0,10.0,9.0,11.0,6.0,5.0,2.0,9.0,2.0,1,White,Home
38.0,6.0,11.0,5.0,2.0,9.0,21.0,8.2,9.0,7.0,6.0,4.0,16.0,1.0,0,Orioles,Away
