AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
33.0,8.0,10.0,8.0,6.0,8.0,18.0,9.0,6.0,1.0,1.0,1.0,13.0,1.0,1,Twins,Home
32.0,1.0,6.0,1.0,1.0,13.0,11.0,8.0,10.0,8.0,8.0,6.0,8.0,1.0,0,White,Away
33.0,3.0,6.0,3.0,0.0,11.0,6.0,9.0,10.0,7.0,7.0,3.0,10.0,1.0,0,Royals,Home
36.0,7.0,10.0,7.0,3.0,10.0,19.0,9.0,6.0,3.0,3.0,0.0,11.0,1.0,1,Yankees,Away
33.0,8.0,11.0,8.0,3.0,8.0,8.0,9.0,14.0,6.0,6.0,3.0,7.0,3.0,1,Cubs,Home
38.0,6.0,14.0,6.0,3.0,7.0,18.0,8.0,11.0,8.0,8.0,3.0,8.0,3.0,0,Reds,Away
30.0,4.0,4.0,4.0,2.0,12.0,3.0,9.0,20.0,19.0,18.0,6.0,11.0,7.0,0,Blue,Home
45.0,19.0,20.0,19.0,6.0,11.0,21.0,9.0,4.0,4.0,3.0,2.0,12.0,2.0,1,Padres,Away
30.0,5.0,7.0,4.0,5.0,3.0,16.0,9.0,4.0,0.0,0.0,1.0,5.0,0.0,1,Nationals,Home
28.0,0.0,4.0,0.0,1.0,5.0,8.0,8.0,7.0,5.0,4.0,5.0,3.0,0.0,0,Marlins,Away
34.0,4.0,8.0,3.0,5.0,7.0,21.0,9.0,13.0,10.0,7.0,3.0,5.0,1.0,0,Giants,Home
38.0,10.0,13.0,8.0,3.0,5.0,16.0,9.0,8.0,4.0,3.0,5.0,7.0,0.0,1,D-backs,Away
32.0,6.0,11.0,6.0,1.0,5.0,10.0,9.0,9.0,5.0,5.0,0.0,7.0,3.0,1,Athletics,Home
36.0,5.0,9.0,5.0,0.0,7.0,9.0,8.0,11.0,6.0,5.0,1.0,5.0,1.0,0,Mariners,Away
31.0,2.0,5.0,2.0,3.0,12.0,13.0,9.0,12.0,6.0,5.0,1.0,11.0,3.0,0,Indians,Home
38.0,6.0,12.0,6.0,1.0,11.0,15.0,9.0,5.0,2.0,2.0,3.0,12.0,1.0,1,Rays,Away
44.0,5.0,7.0,5.0,3.0,8.0,17.0,13.0,14.0,4.0,4.0,7.0,11.0,1.0,1,Mets,Home
49.0,4.0,14.0,4.0,7.0,11.0,31.0,12.0,7.0,5.0,4.0,3.0,8.0,3.0,0,Tigers,Away
30.0,2.0,5.0,2.0,1.0,9.0,7.0,9.0,12.0,7.0,7.0,5.0,8.0,4.0,0,Brewers,Home
38.0,7.0,12.0,7.0,5.0,8.0,17.0,9.0,5.0,2.0,2.0,1.0,9.0,1.0,1,Phillies,Away
36.0,4.0,13.0,4.0,4.0,5.0,18.0,9.0,9.0,3.0,3.0,3.0,10.0,0.0,1,Astros,Home
35.0,3.0,9.0,3.0,3.0,10.0,22.0,8.0,13.0,4.0,4.0,4.0,5.0,0.0,0,Red,Away
36.0,2.0,11.0,1.0,0.0,5.0,18.0,9.0,13.0,7.0,7.0,4.0,3.0,0.0,0,Pirates,Home
37.0,7.0,13.0,7.0,4.0,3.0,17.0,9.0,11.0,2.0,2.0,0.0,5.0,0.0,1,Dodgers,Away
32.0,6.0,9.0,6.0,1.0,8.0,12.0,9.0,7.0,3.0,3.0,4.0,2.0,0.0,1,Cardinals,Home
31.0,3.0,7.0,3.0,4.0,2.0,12.0,8.0,9.0,6.0,5.0,1.0,8.0,1.0,0,Braves,Away
33.0,5.0,9.0,5.0,2.0,7.0,5.0,9.0,10.0,6.0,6.0,7.0,7.0,0.0,0,Royals,Home
35.0,6.0,10.0,6.0,7.0,7.0,20.0,9.0,9.0,5.0,4.0,2.0,7.0,0.0,1,Yankees,Away
37.0,6.0,10.0,6.0,1.0,9.0,8.0,9.0,17.0,9.0,9.0,3.0,7.0,2.0,0,Rockies,Home
40.0,9.0,17.0,9.0,3.0,7.0,19.0,9.0,10.0,6.0,6.0,1.0,9.0,2.0,1,Orioles,Away
33.0,3.0,9.0,3.0,3.0,10.0,15.0,9.0,5.0,2.0,2.0,4.0,7.0,0.0,1,Angels,Home
32.0,2.0,5.0,2.0,4.0,7.0,19.0,8.2,9.0,3.0,3.0,3.0,10.0,1.0,0,Rangers,Away
