AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,5.0,8.0,5.0,1.0,12.0,7.0,9.0,9.0,1.0,0.0,2.0,3.0,0.0,1,Cardinals,Home
35.0,1.0,9.0,1.0,2.0,3.0,19.0,8.0,8.0,5.0,5.0,1.0,12.0,2.0,0,Nationals,Away
36.0,4.0,11.0,4.0,2.0,11.0,14.0,9.0,10.0,7.0,6.0,6.0,4.0,2.0,0,Rockies,Home
35.0,7.0,10.0,6.0,6.0,4.0,16.0,9.0,11.0,4.0,4.0,2.0,11.0,2.0,1,Mets,Away
36.0,1.0,5.0,1.0,4.0,12.0,16.0,11.0,4.0,0.0,0.0,3.0,19.0,0.0,1,Athletics,Home
35.0,0.0,4.0,0.0,3.0,19.0,11.0,10.2,5.0,1.0,1.0,4.0,12.0,0.0,0,Royals,Away
33.0,5.0,9.0,5.0,2.0,5.0,14.0,9.0,10.0,4.0,3.0,0.0,5.0,2.0,1,D-backs,Home
36.0,4.0,10.0,4.0,0.0,5.0,10.0,8.0,9.0,5.0,4.0,2.0,5.0,2.0,0,Marlins,Away
33.0,2.0,6.0,2.0,2.0,9.0,14.0,9.0,10.0,3.0,2.0,5.0,14.0,0.0,0,Yankees,Home
37.0,3.0,10.0,2.0,5.0,14.0,32.0,9.0,6.0,2.0,2.0,2.0,9.0,1.0,1,Angels,Away
42.0,10.0,16.0,10.0,2.0,8.0,20.0,9.0,15.0,11.0,10.0,9.0,13.0,2.0,0,Orioles,Home
42.0,11.0,15.0,11.0,9.0,13.0,28.0,9.0,16.0,10.0,9.0,2.0,8.0,2.0,1,Blue,Away
31.0,1.0,6.0,1.0,3.0,2.0,14.0,9.0,7.0,4.0,4.0,4.0,10.0,2.0,0,Pirates,Home
32.0,4.0,7.0,4.0,4.0,10.0,16.0,9.0,6.0,1.0,1.0,3.0,2.0,0.0,1,Mariners,Away
31.0,3.0,6.0,3.0,4.0,3.0,10.0,9.0,15.0,11.0,8.0,2.0,13.0,1.0,0,Red,Home
42.0,11.0,15.0,10.0,2.0,13.0,17.0,9.0,6.0,3.0,3.0,4.0,3.0,2.0,1,Giants,Away
35.0,2.0,9.0,2.0,3.0,9.0,13.0,10.0,4.0,1.0,1.0,1.0,7.0,0.0,1,Indians,Home
31.0,1.0,4.0,1.0,1.0,7.0,4.0,9.2,9.0,2.0,1.0,3.0,9.0,0.0,0,Tigers,Away
33.0,1.0,5.0,1.0,2.0,8.0,12.0,9.0,4.0,4.0,3.0,3.0,12.0,2.0,0,Braves,Home
31.0,4.0,4.0,4.0,3.0,12.0,12.0,9.0,5.0,1.0,0.0,2.0,8.0,0.0,1,Phillies,Away
29.0,1.0,3.0,1.0,5.0,5.0,12.0,9.0,10.0,3.0,3.0,1.0,14.0,1.0,0,Twins,Home
35.0,3.0,10.0,3.0,1.0,14.0,18.0,9.0,3.0,1.0,1.0,5.0,5.0,0.0,1,White,Away
29.0,1.0,3.0,1.0,5.0,16.0,15.0,9.0,8.0,2.0,2.0,1.0,10.0,1.0,0,Brewers,Home
32.0,2.0,8.0,2.0,1.0,10.0,12.0,9.0,3.0,1.0,1.0,5.0,16.0,1.0,1,Padres,Away
32.0,2.0,4.0,2.0,2.0,8.0,9.0,10.0,10.0,3.0,3.0,6.0,11.0,1.0,0,Cubs,Home
36.0,3.0,10.0,3.0,6.0,11.0,19.0,10.0,4.0,2.0,2.0,2.0,8.0,1.0,1,Reds,Away
31.0,3.0,6.0,3.0,4.0,6.0,14.0,9.0,7.0,2.0,2.0,2.0,11.0,1.0,1,Astros,Home
32.0,2.0,7.0,1.0,2.0,11.0,12.0,8.0,6.0,3.0,3.0,4.0,6.0,2.0,0,Rangers,Away
44.0,7.0,12.0,6.0,2.0,13.0,18.0,11.0,14.0,8.0,7.0,4.0,13.0,1.0,0,Dodgers,Home
44.0,8.0,14.0,8.0,4.0,13.0,21.0,11.0,12.0,7.0,5.0,2.0,13.0,1.0,1,Rays,Away
