AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
27.0,1.0,4.0,1.0,1.0,9.0,7.0,9.0,4.0,0.0,0.0,1.0,10.0,0.0,1,Mets,Home
30.0,0.0,4.0,0.0,1.0,10.0,6.0,8.0,4.0,1.0,1.0,1.0,9.0,1.0,0,Reds,Away
36.0,2.0,10.0,2.0,1.0,7.0,15.0,9.0,17.0,11.0,7.0,2.0,10.0,2.0,0,Braves,Home
43.0,11.0,17.0,10.0,2.0,10.0,18.0,9.0,10.0,2.0,2.0,1.0,7.0,0.0,1,Padres,Away
33.0,8.0,10.0,8.0,3.0,8.0,7.0,9.0,8.0,2.0,2.0,0.0,7.0,1.0,1,Twins,Home
34.0,2.0,8.0,2.0,0.0,7.0,14.0,8.0,10.0,8.0,8.0,3.0,8.0,1.0,0,Astros,Away
37.0,6.0,10.0,6.0,3.0,14.0,13.0,9.0,14.0,11.0,8.0,3.0,6.0,3.0,0,Brewers,Home
43.0,11.0,14.0,11.0,3.0,6.0,20.0,9.0,10.0,6.0,6.0,3.0,14.0,1.0,1,Rockies,Away
32.0,1.0,5.0,1.0,1.0,12.0,11.0,9.0,7.0,3.0,3.0,2.0,9.0,1.0,0,Royals,Home
32.0,3.0,7.0,3.0,2.0,9.0,10.0,9.0,5.0,1.0,1.0,1.0,12.0,0.0,1,Rays,Away
29.0,2.0,5.0,0.0,2.0,11.0,7.0,9.0,9.0,1.0,1.0,3.0,13.0,0.0,1,Nationals,Home
34.0,1.0,9.0,1.0,3.0,13.0,19.0,8.0,5.0,2.0,1.0,2.0,11.0,0.0,0,Cardinals,Away
33.0,6.0,9.0,6.0,2.0,10.0,11.0,9.0,8.0,4.0,4.0,7.0,10.0,1.0,1,White,Home
33.0,4.0,8.0,4.0,7.0,10.0,18.0,8.1,9.0,6.0,5.0,2.0,10.0,2.0,0,Red,Away
35.0,6.0,11.0,5.0,2.0,4.0,7.0,9.0,6.0,2.0,2.0,3.0,11.0,0.0,1,Angels,Home
32.0,2.0,6.0,2.0,3.0,11.0,14.0,8.0,11.0,6.0,5.0,2.0,4.0,2.0,0,Blue,Away
