AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,1.0,6.0,1.0,1.0,8.0,10.0,9.0,11.0,3.0,3.0,1.0,12.0,0.0,0,Yankees,Home
37.0,3.0,11.0,3.0,1.0,12.0,15.0,9.0,6.0,1.0,1.0,1.0,8.0,0.0,1,Tigers,Away
31.0,3.0,4.0,3.0,5.0,9.0,14.0,9.0,7.0,4.0,4.0,7.0,11.0,1.0,0,Reds,Home
33.0,4.0,7.0,4.0,7.0,11.0,17.0,9.0,4.0,3.0,3.0,5.0,9.0,1.0,1,Brewers,Away
33.0,2.0,7.0,2.0,1.0,14.0,15.0,9.0,14.0,8.0,7.0,4.0,12.0,2.0,0,Nationals,Home
41.0,8.0,14.0,7.0,4.0,12.0,21.0,9.0,7.0,2.0,2.0,1.0,14.0,1.0,1,Phillies,Away
31.0,1.0,6.0,1.0,4.0,4.0,11.0,9.0,10.0,2.0,2.0,2.0,8.0,0.0,0,Blue,Home
34.0,2.0,10.0,2.0,2.0,8.0,12.0,9.0,6.0,1.0,1.0,4.0,4.0,1.0,1,Orioles,Away
33.0,4.0,8.0,3.0,6.0,13.0,19.0,9.0,2.0,0.0,0.0,2.0,14.0,0.0,1,Rays,Home
27.0,0.0,2.0,0.0,2.0,14.0,5.0,8.0,8.0,4.0,3.0,6.0,13.0,0.0,0,Rockies,Away
41.0,5.0,16.0,5.0,2.0,5.0,24.0,9.0,9.0,6.0,6.0,5.0,7.0,0.0,0,Marlins,Home
38.0,6.0,9.0,6.0,5.0,7.0,25.0,9.0,16.0,5.0,5.0,2.0,5.0,1.0,1,Mets,Away
32.0,6.0,9.0,6.0,4.0,9.0,16.0,9.0,12.0,4.0,4.0,5.0,5.0,0.0,1,Rangers,Home
34.0,4.0,12.0,4.0,5.0,5.0,22.0,8.0,9.0,6.0,6.0,4.0,9.0,1.0,0,Astros,Away
37.0,4.0,10.0,4.0,1.0,7.0,13.0,10.0,12.0,5.0,5.0,6.0,10.0,0.0,0,Royals,Home
41.0,5.0,12.0,5.0,6.0,10.0,34.0,10.0,10.0,4.0,4.0,1.0,7.0,2.0,1,Twins,Away
26.0,1.0,3.0,1.0,3.0,4.0,10.0,9.0,7.0,0.0,0.0,1.0,9.0,0.0,1,Athletics,Home
33.0,0.0,7.0,0.0,1.0,9.0,13.0,8.0,3.0,1.0,1.0,3.0,4.0,1.0,0,Red,Away
30.0,6.0,7.0,6.0,3.0,5.0,14.0,9.0,9.0,5.0,4.0,2.0,8.0,1.0,1,Dodgers,Home
34.0,5.0,9.0,5.0,2.0,8.0,15.0,8.0,7.0,6.0,1.0,3.0,5.0,1.0,0,Giants,Away
38.0,5.0,11.0,5.0,1.0,13.0,13.0,9.0,14.0,8.0,8.0,4.0,8.0,5.0,0,Padres,Home
41.0,8.0,14.0,7.0,4.0,8.0,17.0,9.0,11.0,5.0,5.0,1.0,13.0,3.0,1,D-backs,Away
29.0,2.0,5.0,2.0,0.0,6.0,5.0,9.0,4.0,1.0,1.0,1.0,4.0,0.0,1,Mariners,Home
31.0,1.0,4.0,1.0,1.0,4.0,8.0,8.0,5.0,2.0,2.0,0.0,6.0,1.0,0,Angels,Away
