AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
28.0,2.0,3.0,2.0,2.0,4.0,9.0,9.0,7.0,1.0,1.0,1.0,5.0,0.0,1,Orioles,Home
32.0,1.0,7.0,1.0,1.0,5.0,13.0,8.0,3.0,2.0,2.0,2.0,4.0,1.0,0,Mariners,Away
30.0,8.0,7.0,8.0,2.0,6.0,3.0,9.0,9.0,3.0,3.0,2.0,15.0,2.0,1,Yankees,Home
36.0,3.0,9.0,3.0,2.0,15.0,14.0,8.0,7.0,8.0,8.0,2.0,6.0,3.0,0,Blue,Away
32.0,3.0,6.0,3.0,6.0,8.0,12.0,9.0,9.0,6.0,6.0,2.0,9.0,3.0,0,Reds,Home
36.0,6.0,9.0,6.0,2.0,9.0,9.0,9.0,6.0,3.0,3.0,6.0,8.0,2.0,1,Mets,Away
34.0,6.0,12.0,6.0,1.0,6.0,10.0,9.0,11.0,3.0,3.0,2.0,11.0,1.0,1,Tigers,Home
37.0,3.0,11.0,3.0,2.0,11.0,17.0,8.0,12.0,6.0,6.0,1.0,6.0,4.0,0,White,Away
33.0,4.0,9.0,3.0,4.0,8.0,13.0,9.0,11.0,7.0,6.0,4.0,10.0,1.0,0,Rays,Home
39.0,7.0,11.0,5.0,4.0,10.0,22.0,9.0,9.0,4.0,4.0,4.0,8.0,2.0,1,Red,Away
29.0,5.0,6.0,5.0,4.0,6.0,13.0,9.0,6.0,3.0,3.0,7.0,5.0,0.0,1,Marlins,Home
32.0,3.0,6.0,3.0,7.0,5.0,14.0,8.0,6.0,5.0,5.0,4.0,6.0,1.0,0,Nationals,Away
32.0,1.0,5.0,1.0,2.0,12.0,11.0,9.0,10.0,4.0,3.0,2.0,8.0,0.0,0,Braves,Home
38.0,4.0,10.0,4.0,2.0,8.0,18.0,9.0,5.0,1.0,1.0,2.0,12.0,0.0,1,Giants,Away
38.0,13.0,15.0,12.0,5.0,4.0,17.0,9.0,8.0,5.0,4.0,6.0,10.0,0.0,1,Astros,Home
35.0,5.0,8.0,5.0,6.0,10.0,23.0,8.0,15.0,13.0,12.0,5.0,4.0,5.0,0,Angels,Away
37.0,12.0,13.0,12.0,9.0,7.0,15.0,9.0,12.0,8.0,7.0,6.0,15.0,1.0,1,Twins,Home
38.0,8.0,12.0,8.0,6.0,15.0,19.0,8.0,13.0,12.0,12.0,9.0,7.0,3.0,0,Royals,Away
30.0,4.0,7.0,4.0,4.0,9.0,17.0,9.0,4.0,3.0,0.0,0.0,14.0,0.0,1,Brewers,Home
32.0,3.0,4.0,2.0,0.0,14.0,4.0,8.0,7.0,4.0,4.0,4.0,9.0,3.0,0,Pirates,Away
33.0,2.0,9.0,1.0,1.0,5.0,13.0,9.0,7.0,3.0,3.0,1.0,14.0,1.0,0,Cubs,Home
31.0,3.0,7.0,3.0,1.0,14.0,9.0,9.0,9.0,2.0,1.0,1.0,5.0,1.0,1,Cardinals,Away
37.0,3.0,11.0,3.0,1.0,15.0,18.0,9.0,11.0,8.0,8.0,1.0,8.0,5.0,0,Athletics,Home
37.0,8.0,11.0,8.0,1.0,8.0,9.0,9.0,11.0,3.0,3.0,1.0,15.0,0.0,1,Rangers,Away
34.0,7.0,11.0,7.0,5.0,7.0,11.0,9.0,8.0,4.0,4.0,1.0,10.0,2.0,1,Dodgers,Home
32.0,4.0,8.0,4.0,1.0,10.0,13.0,8.0,11.0,7.0,7.0,5.0,7.0,4.0,0,Rockies,Away
37.0,6.0,10.0,6.0,5.0,14.0,20.0,10.0,8.0,4.0,4.0,4.0,10.0,1.0,1,Padres,Home
37.0,4.0,8.0,4.0,4.0,10.0,15.0,9.0,10.0,6.0,6.0,5.0,14.0,2.0,0,D-backs,Away
34.0,10.0,9.0,10.0,2.0,9.0,10.0,9.0,5.0,1.0,1.0,2.0,9.0,0.0,1,Indians,Home
31.0,1.0,5.0,1.0,2.0,9.0,10.0,8.0,9.0,10.0,7.0,2.0,9.0,2.0,0,Phillies,Away
