AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
49.0,10.0,16.0,10.0,5.0,14.0,22.0,12.0,13.0,9.0,9.0,5.0,11.0,2.0,1,Blue,Home
47.0,9.0,13.0,9.0,5.0,11.0,18.0,11.0,16.0,10.0,10.0,5.0,14.0,6.0,0,Rays,Away
36.0,9.0,15.0,9.0,1.0,7.0,9.0,9.0,11.0,5.0,5.0,3.0,13.0,1.0,1,Red,Home
37.0,5.0,11.0,5.0,3.0,13.0,16.0,8.0,15.0,9.0,9.0,1.0,7.0,2.0,0,Yankees,Away
29.0,3.0,5.0,3.0,5.0,12.0,12.0,9.0,10.0,9.0,8.0,4.0,12.0,1.0,0,Nationals,Home
35.0,9.0,10.0,9.0,4.0,12.0,7.0,9.0,5.0,3.0,3.0,5.0,12.0,1.0,1,Dodgers,Away
39.0,8.0,16.0,8.0,4.0,16.0,29.0,9.0,7.0,1.0,1.0,1.0,10.0,0.0,1,Mariners,Home
33.0,1.0,7.0,1.0,1.0,10.0,11.0,8.0,16.0,8.0,8.0,4.0,16.0,0.0,0,Tigers,Away
34.0,2.0,9.0,2.0,1.0,4.0,9.0,9.0,7.0,9.0,9.0,3.0,7.0,2.0,0,Marlins,Home
33.0,9.0,7.0,9.0,3.0,7.0,6.0,9.0,9.0,2.0,2.0,1.0,4.0,1.0,1,D-backs,Away
38.0,7.0,12.0,6.0,4.0,12.0,17.0,9.0,16.0,15.0,10.0,7.0,15.0,4.0,0,Phillies,Home
43.0,15.0,16.0,15.0,7.0,15.0,18.0,9.0,12.0,7.0,6.0,4.0,12.0,2.0,1,Braves,Away
27.0,3.0,6.0,3.0,3.0,4.0,10.0,9.0,5.0,1.0,1.0,4.0,8.0,0.0,1,Reds,Home
29.0,1.0,5.0,1.0,4.0,8.0,15.0,8.0,6.0,3.0,3.0,3.0,4.0,2.0,0,Rockies,Away
28.0,3.0,3.0,3.0,2.0,8.0,4.0,9.0,5.0,0.0,0.0,0.0,7.0,0.0,1,Mets,Home
31.0,0.0,5.0,0.0,0.0,7.0,10.0,8.0,3.0,3.0,2.0,2.0,8.0,2.0,0,Pirates,Away
35.0,5.0,10.0,5.0,1.0,5.0,21.0,9.0,3.0,1.0,0.0,2.0,7.0,0.0,1,White,Home
29.0,1.0,3.0,0.0,2.0,7.0,9.0,8.0,10.0,5.0,4.0,1.0,5.0,1.0,0,Twins,Away
33.0,5.0,9.0,5.0,6.0,7.0,17.0,10.0,6.0,3.0,3.0,2.0,12.0,2.0,1,Brewers,Home
36.0,3.0,6.0,3.0,2.0,12.0,14.0,9.0,9.0,5.0,5.0,6.0,7.0,3.0,0,Cubs,Away
33.0,1.0,8.0,1.0,0.0,10.0,13.0,9.0,14.0,9.0,9.0,1.0,8.0,3.0,0,Royals,Home
40.0,9.0,14.0,9.0,1.0,8.0,13.0,9.0,8.0,1.0,1.0,0.0,10.0,0.0,1,Indians,Away
33.0,2.0,7.0,2.0,3.0,9.0,13.0,9.0,11.0,8.0,8.0,6.0,7.0,1.0,0,Cardinals,Home
36.0,8.0,11.0,8.0,6.0,7.0,17.0,9.0,7.0,2.0,1.0,3.0,9.0,1.0,1,Astros,Away
28.0,5.0,9.0,5.0,5.0,8.0,14.0,9.0,5.0,1.0,1.0,5.0,8.0,0.0,1,Padres,Home
32.0,1.0,5.0,1.0,5.0,8.0,18.0,8.0,9.0,5.0,5.0,5.0,8.0,1.0,0,Giants,Away
37.0,7.0,9.0,7.0,3.0,11.0,11.0,9.0,14.0,8.0,5.0,3.0,9.0,2.0,0,Angels,Home
38.0,8.0,14.0,8.0,3.0,9.0,16.0,9.0,9.0,7.0,7.0,3.0,11.0,3.0,1,Orioles,Away
30.0,5.0,6.0,5.0,1.0,4.0,6.0,9.0,11.0,4.0,4.0,1.0,10.0,0.0,1,Athletics,Home
37.0,4.0,11.0,4.0,1.0,10.0,11.0,8.0,6.0,5.0,5.0,1.0,4.0,4.0,0,Rangers,Away
