AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
42.0,7.0,15.0,6.0,2.0,4.0,22.0,9.0,12.0,8.0,8.0,1.0,14.0,2.0,0,Red,Home
35.0,8.0,12.0,8.0,1.0,14.0,13.0,9.0,15.0,7.0,7.0,2.0,4.0,1.0,1,White,Away
40.0,8.0,16.0,8.0,3.0,10.0,19.0,9.0,13.0,7.0,7.0,4.0,9.0,3.0,1,Yankees,Home
36.0,7.0,13.0,7.0,4.0,9.0,14.0,8.1,16.0,8.0,8.0,3.0,10.0,2.0,0,Blue,Away
32.0,5.0,10.0,5.0,2.0,6.0,13.0,9.0,8.0,3.0,3.0,1.0,16.0,1.0,1,Indians,Home
34.0,3.0,8.0,3.0,1.0,16.0,11.0,8.0,10.0,5.0,4.0,2.0,6.0,2.0,0,Royals,Away
36.0,5.0,8.0,5.0,3.0,15.0,18.0,9.0,11.0,10.0,10.0,3.0,10.0,5.0,0,Orioles,Home
37.0,10.0,11.0,10.0,3.0,10.0,11.0,9.0,8.0,5.0,5.0,3.0,15.0,2.0,1,Padres,Away
35.0,8.0,9.0,8.0,1.0,8.0,12.0,9.0,5.0,2.0,2.0,4.0,7.0,1.0,1,D-backs,Home
30.0,2.0,5.0,2.0,4.0,7.0,10.0,8.0,9.0,8.0,5.0,1.0,8.0,1.0,0,Dodgers,Away
32.0,3.0,8.0,3.0,3.0,5.0,13.0,9.0,7.0,6.0,6.0,2.0,11.0,1.0,0,Giants,Home
32.0,6.0,7.0,6.0,2.0,11.0,10.0,9.0,8.0,3.0,2.0,3.0,5.0,1.0,1,Rockies,Away
37.0,5.0,9.0,5.0,5.0,15.0,11.0,10.0,10.0,4.0,4.0,4.0,6.0,2.0,1,Phillies,Home
39.0,4.0,10.0,4.0,4.0,6.0,21.0,9.0,9.0,5.0,5.0,5.0,15.0,1.0,0,Mets,Away
30.0,1.0,5.0,1.0,2.0,7.0,12.0,9.0,8.0,4.0,4.0,3.0,12.0,3.0,0,Tigers,Home
32.0,4.0,8.0,4.0,3.0,12.0,8.0,9.0,5.0,1.0,1.0,2.0,7.0,1.0,1,Rangers,Away
33.0,5.0,6.0,5.0,3.0,13.0,9.0,9.0,7.0,7.0,6.0,6.0,12.0,1.0,0,Marlins,Home
33.0,7.0,7.0,5.0,6.0,12.0,17.0,9.0,6.0,5.0,5.0,3.0,13.0,0.0,1,Nationals,Away
32.0,0.0,5.0,0.0,1.0,8.0,11.0,9.0,8.0,2.0,2.0,1.0,11.0,2.0,0,Cardinals,Home
35.0,2.0,8.0,2.0,1.0,11.0,15.0,9.0,5.0,0.0,0.0,1.0,8.0,0.0,1,Athletics,Away
34.0,3.0,10.0,3.0,4.0,5.0,13.0,9.0,7.0,5.0,5.0,2.0,10.0,2.0,0,Cubs,Home
33.0,5.0,7.0,4.0,2.0,10.0,8.0,9.0,10.0,3.0,3.0,4.0,5.0,2.0,1,Braves,Away
31.0,5.0,7.0,5.0,4.0,9.0,15.0,9.0,5.0,1.0,1.0,1.0,9.0,1.0,1,Angels,Home
33.0,1.0,5.0,1.0,1.0,9.0,15.0,8.0,7.0,5.0,5.0,4.0,9.0,2.0,0,Reds,Away
34.0,2.0,9.0,2.0,3.0,6.0,19.0,9.0,15.0,14.0,14.0,7.0,6.0,4.0,0,Astros,Home
41.0,14.0,15.0,14.0,7.0,6.0,18.0,9.0,9.0,2.0,2.0,3.0,6.0,1.0,1,Pirates,Away
34.0,6.0,10.0,5.0,1.0,8.0,18.0,9.0,6.0,4.0,4.0,2.0,9.0,3.0,1,Twins,Home
32.0,4.0,6.0,4.0,2.0,9.0,9.0,8.0,10.0,6.0,3.0,1.0,8.0,0.0,0,Rays,Away
32.0,2.0,5.0,2.0,3.0,10.0,12.0,9.0,8.0,4.0,4.0,5.0,14.0,0.0,0,Brewers,Home
33.0,4.0,8.0,4.0,5.0,14.0,18.0,9.0,5.0,2.0,2.0,3.0,10.0,2.0,1,Mariners,Away
