AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,1.0,5.0,1.0,1.0,9.0,9.0,9.0,9.0,5.0,5.0,7.0,8.0,1.0,0,Red,Home
35.0,5.0,9.0,5.0,7.0,8.0,17.0,9.0,5.0,1.0,1.0,1.0,9.0,1.0,1,Yankees,Away
29.0,0.0,3.0,0.0,2.0,15.0,9.0,9.0,4.0,2.0,2.0,5.0,14.0,0.0,0,Reds,Home
32.0,2.0,4.0,2.0,5.0,14.0,17.0,9.0,3.0,0.0,0.0,2.0,15.0,0.0,1,D-backs,Away
30.0,5.0,8.0,5.0,5.0,11.0,18.0,9.0,6.0,3.0,3.0,3.0,15.0,0.0,1,Rays,Home
32.0,3.0,6.0,3.0,3.0,15.0,11.0,8.0,8.0,5.0,5.0,5.0,11.0,0.0,0,Blue,Away
30.0,2.0,4.0,2.0,7.0,7.0,17.0,9.0,10.0,7.0,7.0,5.0,10.0,1.0,0,Marlins,Home
37.0,7.0,10.0,6.0,5.0,10.0,17.0,9.0,4.0,2.0,2.0,7.0,7.0,0.0,1,Royals,Away
34.0,4.0,6.0,3.0,4.0,13.0,15.0,9.0,12.0,9.0,8.0,1.0,9.0,1.0,0,Orioles,Home
38.0,9.0,12.0,7.0,1.0,9.0,10.0,9.0,6.0,4.0,2.0,4.0,13.0,1.0,1,Rangers,Away
31.0,1.0,6.0,1.0,2.0,7.0,9.0,9.0,11.0,10.0,9.0,5.0,7.0,1.0,0,Pirates,Home
39.0,10.0,11.0,10.0,5.0,7.0,26.0,9.0,6.0,1.0,1.0,2.0,7.0,0.0,1,Cardinals,Away
28.0,2.0,6.0,2.0,3.0,8.0,12.0,9.0,6.0,1.0,1.0,1.0,10.0,0.0,1,Astros,Home
31.0,1.0,6.0,1.0,1.0,10.0,11.0,8.0,6.0,2.0,2.0,3.0,8.0,1.0,0,Mariners,Away
33.0,0.0,6.0,0.0,3.0,7.0,24.0,9.0,11.0,5.0,4.0,0.0,11.0,1.0,0,Mets,Home
39.0,5.0,11.0,5.0,0.0,11.0,17.0,9.0,6.0,0.0,0.0,3.0,7.0,0.0,1,Phillies,Away
31.0,5.0,7.0,5.0,5.0,8.0,15.0,9.0,7.0,3.0,3.0,2.0,15.0,0.0,1,Twins,Home
34.0,3.0,7.0,2.0,2.0,15.0,9.0,8.0,7.0,5.0,5.0,5.0,8.0,2.0,0,Indians,Away
34.0,7.0,8.0,7.0,0.0,13.0,5.0,9.0,11.0,8.0,8.0,9.0,9.0,2.0,0,White,Home
38.0,8.0,11.0,7.0,9.0,9.0,20.0,9.0,8.0,7.0,4.0,0.0,13.0,1.0,1,Angels,Away
33.0,3.0,7.0,3.0,5.0,11.0,19.0,9.0,4.0,2.0,2.0,5.0,12.0,1.0,1,Brewers,Home
30.0,2.0,4.0,2.0,5.0,12.0,17.0,8.2,7.0,3.0,2.0,5.0,11.0,1.0,0,Cubs,Away
28.0,5.0,6.0,5.0,6.0,10.0,13.0,9.0,5.0,4.0,4.0,5.0,10.0,1.0,1,Braves,Home
29.0,4.0,5.0,3.0,5.0,10.0,10.0,8.0,6.0,5.0,5.0,6.0,10.0,4.0,0,Nationals,Away
29.0,3.0,6.0,3.0,4.0,9.0,10.0,9.0,3.0,0.0,0.0,5.0,11.0,0.0,1,Padres,Home
29.0,0.0,3.0,0.0,5.0,11.0,12.0,8.0,6.0,3.0,3.0,4.0,9.0,2.0,0,Rockies,Away
36.0,10.0,12.0,10.0,4.0,6.0,17.0,9.0,9.0,2.0,2.0,1.0,19.0,0.0,1,Athletics,Home
35.0,2.0,9.0,2.0,1.0,19.0,18.0,8.0,12.0,10.0,10.0,4.0,6.0,3.0,0,Tigers,Away
29.0,0.0,4.0,0.0,4.0,7.0,18.0,9.0,5.0,1.0,1.0,8.0,11.0,0.0,0,Dodgers,Home
31.0,1.0,5.0,1.0,8.0,11.0,23.0,9.0,4.0,0.0,0.0,4.0,7.0,0.0,1,Giants,Away
