AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
35.0,1.0,8.0,1.0,2.0,12.0,22.0,9.0,14.0,6.0,6.0,2.0,11.0,4.0,0,Red,Home
39.0,6.0,14.0,6.0,2.0,11.0,17.0,9.0,8.0,1.0,1.0,2.0,12.0,0.0,1,Rays,Away
30.0,3.0,5.0,3.0,3.0,7.0,8.0,9.0,9.0,4.0,4.0,4.0,9.0,0.0,0,Phillies,Home
35.0,4.0,9.0,4.0,4.0,9.0,12.0,9.0,5.0,3.0,3.0,3.0,7.0,0.0,1,Reds,Away
34.0,2.0,7.0,2.0,1.0,13.0,12.0,9.0,10.0,8.0,8.0,7.0,7.0,2.0,0,Blue,Home
37.0,8.0,10.0,8.0,7.0,7.0,19.0,9.0,7.0,2.0,2.0,1.0,13.0,1.0,1,D-backs,Away
38.0,6.0,7.0,5.0,3.0,10.0,11.0,10.0,11.0,7.0,7.0,9.0,13.0,1.0,0,Indians,Home
38.0,7.0,11.0,7.0,9.0,13.0,16.0,10.0,7.0,6.0,5.0,3.0,10.0,3.0,1,Yankees,Away
33.0,2.0,9.0,1.0,2.0,11.0,17.0,9.0,17.0,12.0,12.0,4.0,7.0,4.0,0,Tigers,Home
43.0,12.0,17.0,12.0,4.0,7.0,17.0,9.0,9.0,2.0,2.0,2.0,11.0,0.0,1,Twins,Away
31.0,6.0,8.0,6.0,2.0,11.0,8.0,9.0,2.0,1.0,1.0,3.0,9.0,0.0,1,Mets,Home
28.0,1.0,2.0,1.0,3.0,9.0,6.0,8.0,8.0,6.0,6.0,2.0,11.0,1.0,0,Rockies,Away
47.0,6.0,14.0,6.0,2.0,14.0,19.0,12.0,10.0,7.0,7.0,9.0,13.0,1.0,0,Marlins,Home
46.0,7.0,10.0,6.0,9.0,13.0,16.0,12.0,14.0,6.0,6.0,2.0,14.0,1.0,1,Braves,Away
28.0,4.0,5.0,4.0,3.0,8.0,10.0,9.0,6.0,0.0,0.0,4.0,8.0,0.0,1,Astros,Home
30.0,0.0,6.0,0.0,4.0,8.0,16.0,8.0,5.0,4.0,3.0,3.0,8.0,1.0,0,Orioles,Away
31.0,5.0,9.0,5.0,5.0,5.0,14.0,9.0,5.0,2.0,2.0,3.0,12.0,1.0,1,Brewers,Home
32.0,2.0,5.0,2.0,3.0,12.0,10.0,8.0,9.0,5.0,5.0,5.0,5.0,2.0,0,Pirates,Away
32.0,2.0,6.0,2.0,3.0,11.0,13.0,9.0,12.0,5.0,3.0,2.0,4.0,1.0,0,Royals,Home
40.0,5.0,12.0,4.0,2.0,4.0,18.0,9.0,6.0,2.0,2.0,3.0,11.0,1.0,1,White,Away
42.0,8.0,15.0,6.0,2.0,12.0,20.0,9.0,11.0,9.0,9.0,3.0,9.0,2.0,0,Rangers,Home
35.0,9.0,11.0,9.0,3.0,9.0,11.0,9.0,15.0,8.0,6.0,2.0,12.0,1.0,1,Athletics,Away
32.0,0.0,5.0,0.0,2.0,12.0,13.0,9.0,6.0,1.0,1.0,2.0,7.0,1.0,0,Giants,Home
30.0,1.0,6.0,1.0,2.0,7.0,9.0,9.0,5.0,0.0,0.0,2.0,12.0,0.0,1,Dodgers,Away
32.0,3.0,7.0,3.0,3.0,11.0,15.0,9.0,13.0,9.0,9.0,3.0,10.0,6.0,0,Angels,Home
39.0,9.0,13.0,9.0,3.0,10.0,11.0,9.0,7.0,3.0,3.0,3.0,11.0,1.0,1,Mariners,Away
33.0,2.0,7.0,2.0,0.0,7.0,11.0,9.0,8.0,5.0,4.0,1.0,5.0,4.0,0,Padres,Home
34.0,5.0,8.0,5.0,1.0,5.0,10.0,9.0,7.0,2.0,2.0,0.0,7.0,0.0,1,Nationals,Away
30.0,5.0,9.0,5.0,1.0,7.0,10.0,9.0,9.0,1.0,1.0,2.0,6.0,0.0,1,Cubs,Home
34.0,1.0,9.0,1.0,2.0,6.0,19.0,8.0,9.0,5.0,4.0,1.0,7.0,1.0,0,Cardinals,Away
