AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
34.0,6.0,10.0,6.0,3.0,6.0,19.0,9.0,9.0,5.0,3.0,4.0,5.0,0.0,1,Braves,Home
35.0,5.0,9.0,5.0,4.0,5.0,13.0,8.0,10.0,6.0,6.0,3.0,6.0,0.0,0,Pirates,Away
39.0,10.0,14.0,9.0,6.0,7.0,26.0,9.0,7.0,5.0,5.0,6.0,7.0,0.0,1,Twins,Home
34.0,5.0,7.0,4.0,6.0,7.0,18.0,8.0,14.0,10.0,10.0,6.0,7.0,2.0,0,Mariners,Away
37.0,3.0,10.0,3.0,0.0,10.0,13.0,9.0,17.0,12.0,12.0,4.0,4.0,3.0,0,Orioles,Home
42.0,12.0,17.0,12.0,4.0,4.0,18.0,9.0,10.0,3.0,2.0,0.0,10.0,1.0,1,Blue,Away
28.0,0.0,3.0,0.0,0.0,6.0,5.0,9.0,7.0,5.0,5.0,3.0,4.0,2.0,0,Nationals,Home
32.0,5.0,7.0,5.0,3.0,4.0,12.0,9.0,3.0,0.0,0.0,0.0,6.0,0.0,1,D-backs,Away
34.0,7.0,9.0,7.0,2.0,8.0,8.0,9.0,9.0,6.0,6.0,9.0,11.0,0.0,1,Red,Home
35.0,6.0,9.0,6.0,9.0,11.0,27.0,8.0,9.0,7.0,7.0,2.0,8.0,5.0,0,Rangers,Away
34.0,4.0,6.0,4.0,2.0,15.0,3.0,10.0,10.0,5.0,5.0,1.0,10.0,1.0,0,Mets,Home
37.0,5.0,10.0,5.0,1.0,10.0,12.0,10.0,6.0,4.0,4.0,2.0,15.0,1.0,1,Cardinals,Away
36.0,3.0,10.0,3.0,2.0,10.0,12.0,9.0,6.0,5.0,5.0,1.0,6.0,2.0,0,Rays,Home
33.0,5.0,6.0,5.0,1.0,6.0,12.0,9.0,10.0,3.0,3.0,2.0,10.0,0.0,1,Angels,Away
35.0,7.0,10.0,5.0,4.0,12.0,21.0,9.0,7.0,3.0,3.0,5.0,8.0,0.0,1,Royals,Home
34.0,3.0,7.0,3.0,5.0,8.0,19.0,8.0,10.0,7.0,6.0,4.0,12.0,1.0,0,Tigers,Away
30.0,5.0,7.0,5.0,7.0,7.0,15.0,9.0,9.0,4.0,4.0,2.0,12.0,1.0,1,White,Home
35.0,4.0,9.0,3.0,2.0,12.0,14.0,8.0,7.0,5.0,5.0,7.0,7.0,2.0,0,Yankees,Away
35.0,9.0,13.0,9.0,6.0,8.0,18.0,9.0,13.0,6.0,6.0,0.0,12.0,2.0,1,Rockies,Home
40.0,6.0,13.0,6.0,0.0,12.0,16.0,8.0,13.0,9.0,9.0,6.0,8.0,3.0,0,Padres,Away
32.0,7.0,11.0,7.0,3.0,9.0,9.0,9.0,8.0,3.0,3.0,3.0,8.0,2.0,1,Dodgers,Home
33.0,3.0,8.0,3.0,3.0,8.0,14.0,8.0,11.0,7.0,7.0,3.0,9.0,4.0,0,Cubs,Away
