AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
42.0,4.0,13.0,4.0,11.0,6.0,32.0,11.0,12.0,7.0,6.0,5.0,9.0,0.0,0,Nationals,Home
45.0,7.0,12.0,5.0,5.0,9.0,22.0,11.0,13.0,4.0,4.0,11.0,6.0,1.0,1,Royals,Away
42.0,6.0,13.0,6.0,3.0,7.0,20.0,10.0,13.0,7.0,7.0,6.0,10.0,3.0,0,Pirates,Home
41.0,7.0,13.0,7.0,6.0,10.0,24.0,10.0,13.0,6.0,5.0,3.0,7.0,2.0,1,Brewers,Away
31.0,1.0,4.0,1.0,2.0,8.0,11.0,9.0,6.0,4.0,4.0,5.0,9.0,1.0,0,Blue,Home
30.0,4.0,6.0,4.0,5.0,9.0,11.0,9.0,4.0,1.0,1.0,2.0,8.0,1.0,1,Orioles,Away
35.0,6.0,9.0,5.0,2.0,9.0,10.0,9.0,14.0,9.0,7.0,4.0,6.0,2.0,0,Tigers,Home
40.0,9.0,14.0,8.0,4.0,6.0,18.0,9.0,9.0,6.0,4.0,2.0,9.0,1.0,1,Red,Away
33.0,2.0,7.0,2.0,1.0,7.0,13.0,9.0,9.0,7.0,7.0,5.0,13.0,1.0,0,Mets,Home
36.0,7.0,9.0,7.0,5.0,13.0,18.0,9.0,7.0,2.0,2.0,1.0,7.0,1.0,1,Phillies,Away
42.0,4.0,10.0,4.0,4.0,9.0,21.0,11.0,14.0,8.0,8.0,0.0,8.0,4.0,0,Rays,Home
44.0,8.0,14.0,8.0,0.0,8.0,11.0,11.0,10.0,4.0,4.0,4.0,9.0,2.0,1,Yankees,Away
29.0,1.0,5.0,1.0,5.0,10.0,12.0,9.0,7.0,0.0,0.0,3.0,12.0,0.0,1,Braves,Home
33.0,0.0,7.0,0.0,3.0,12.0,15.0,8.1,5.0,1.0,1.0,5.0,10.0,0.0,0,Marlins,Away
33.0,4.0,6.0,4.0,4.0,8.0,13.0,9.0,9.0,5.0,5.0,1.0,8.0,4.0,0,Astros,Home
34.0,5.0,9.0,5.0,1.0,8.0,7.0,9.0,6.0,4.0,4.0,4.0,8.0,2.0,1,Angels,Away
42.0,15.0,20.0,15.0,2.0,9.0,17.0,9.0,10.0,6.0,6.0,2.0,3.0,2.0,1,Twins,Home
35.0,6.0,10.0,6.0,2.0,3.0,8.0,8.0,20.0,15.0,15.0,2.0,9.0,4.0,0,Rangers,Away
30.0,8.0,9.0,8.0,4.0,4.0,10.0,9.0,5.0,0.0,0.0,1.0,13.0,0.0,1,D-backs,Home
33.0,0.0,5.0,0.0,1.0,13.0,12.0,8.0,9.0,8.0,8.0,4.0,4.0,2.0,0,Rockies,Away
34.0,2.0,6.0,2.0,1.0,9.0,18.0,9.0,6.0,3.0,2.0,1.0,12.0,1.0,0,Dodgers,Home
32.0,3.0,6.0,3.0,1.0,12.0,8.0,9.0,6.0,2.0,1.0,1.0,9.0,0.0,1,Padres,Away
30.0,2.0,5.0,2.0,0.0,8.0,5.0,9.0,5.0,5.0,4.0,4.0,8.0,1.0,0,Mariners,Home
30.0,5.0,5.0,4.0,4.0,8.0,7.0,9.0,5.0,2.0,2.0,0.0,8.0,1.0,1,Athletics,Away
32.0,4.0,7.0,4.0,3.0,8.0,15.0,9.0,14.0,9.0,9.0,6.0,10.0,3.0,0,Giants,Home
38.0,9.0,14.0,9.0,6.0,10.0,20.0,9.0,7.0,4.0,4.0,3.0,8.0,1.0,1,Cardinals,Away
