AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
32.0,5.0,8.0,4.0,9.0,6.0,31.0,9.0,7.0,1.0,1.0,2.0,14.0,0.0,1,Cubs,Home
33.0,1.0,7.0,1.0,2.0,14.0,14.0,8.0,8.0,5.0,5.0,9.0,6.0,0.0,0,D-backs,Away
30.0,4.0,6.0,4.0,2.0,9.0,4.0,9.0,7.0,1.0,1.0,3.0,13.0,0.0,1,Pirates,Home
31.0,1.0,7.0,1.0,3.0,13.0,15.0,8.0,6.0,4.0,4.0,2.0,9.0,0.0,0,Giants,Away
28.0,6.0,8.0,4.0,5.0,3.0,11.0,9.0,5.0,2.0,1.0,6.0,11.0,0.0,1,Yankees,Home
31.0,2.0,5.0,2.0,6.0,11.0,15.0,8.0,8.0,6.0,5.0,5.0,3.0,2.0,0,Royals,Away
32.0,3.0,7.0,3.0,3.0,8.0,9.0,9.0,11.0,7.0,7.0,5.0,8.0,1.0,0,Tigers,Home
36.0,7.0,11.0,7.0,5.0,8.0,19.0,9.0,7.0,3.0,3.0,3.0,8.0,3.0,1,White,Away
31.0,4.0,7.0,4.0,3.0,9.0,17.0,9.0,10.0,6.0,6.0,2.0,9.0,3.0,0,Rays,Home
34.0,6.0,10.0,6.0,2.0,9.0,11.0,9.0,7.0,4.0,3.0,3.0,9.0,1.0,1,Red,Away
32.0,3.0,6.0,3.0,4.0,8.0,23.0,9.0,6.0,2.0,2.0,1.0,13.0,1.0,1,Marlins,Home
32.0,2.0,6.0,2.0,1.0,13.0,10.0,8.0,6.0,3.0,3.0,4.0,8.0,0.0,0,Nationals,Away
30.0,2.0,4.0,2.0,4.0,9.0,10.0,9.0,11.0,7.0,7.0,5.0,13.0,2.0,0,Rangers,Home
37.0,7.0,11.0,7.0,5.0,13.0,21.0,9.0,4.0,2.0,2.0,4.0,9.0,2.0,1,Astros,Away
32.0,3.0,7.0,3.0,4.0,14.0,12.0,9.0,7.0,5.0,5.0,9.0,10.0,1.0,0,Brewers,Home
32.0,5.0,7.0,5.0,9.0,10.0,23.0,9.0,7.0,3.0,3.0,4.0,14.0,2.0,1,Dodgers,Away
37.0,4.0,10.0,3.0,5.0,7.0,23.0,9.0,11.0,5.0,4.0,5.0,8.0,1.0,0,Cardinals,Home
37.0,5.0,11.0,5.0,5.0,8.0,21.0,9.0,10.0,4.0,3.0,5.0,7.0,2.0,1,Mets,Away
42.0,4.0,8.0,4.0,4.0,16.0,13.0,12.0,17.0,3.0,3.0,6.0,11.0,0.0,1,Rockies,Home
51.0,3.0,17.0,3.0,6.0,11.0,34.0,11.2,8.0,4.0,4.0,4.0,16.0,2.0,0,Phillies,Away
32.0,3.0,9.0,3.0,2.0,6.0,14.0,9.0,6.0,5.0,5.0,7.0,6.0,4.0,0,Angels,Home
33.0,5.0,6.0,5.0,7.0,6.0,18.0,9.0,9.0,3.0,3.0,2.0,6.0,1.0,1,Mariners,Away
33.0,1.0,6.0,1.0,2.0,8.0,12.0,9.0,7.0,5.0,5.0,3.0,10.0,1.0,0,Athletics,Home
33.0,5.0,7.0,5.0,3.0,10.0,10.0,9.0,6.0,1.0,1.0,2.0,8.0,0.0,1,Blue,Away
37.0,2.0,4.0,2.0,3.0,13.0,10.0,11.0,4.0,3.0,2.0,0.0,7.0,2.0,0,Padres,Home
38.0,3.0,4.0,3.0,0.0,7.0,5.0,11.0,4.0,2.0,2.0,3.0,13.0,1.0,1,Reds,Away
