AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
29.0,5.0,7.0,5.0,3.0,5.0,16.0,9.0,9.0,2.0,2.0,1.0,9.0,1.0,1,Tigers,Home
36.0,2.0,9.0,2.0,1.0,9.0,15.0,8.0,7.0,5.0,5.0,3.0,5.0,1.0,0,Orioles,Away
32.0,5.0,10.0,5.0,2.0,5.0,16.0,9.0,6.0,3.0,3.0,2.0,10.0,2.0,1,Twins,Home
31.0,3.0,6.0,3.0,2.0,10.0,7.0,8.0,10.0,5.0,5.0,2.0,5.0,0.0,0,White,Away
32.0,5.0,8.0,5.0,1.0,10.0,11.0,9.0,2.0,1.0,1.0,3.0,11.0,0.0,1,Brewers,Home
29.0,1.0,2.0,1.0,3.0,11.0,9.0,8.0,8.0,5.0,5.0,1.0,10.0,1.0,0,Padres,Away
29.0,4.0,5.0,4.0,6.0,11.0,16.0,9.0,5.0,2.0,2.0,2.0,1.0,1.0,1,Cardinals,Home
30.0,2.0,5.0,2.0,2.0,1.0,3.0,8.0,5.0,4.0,4.0,6.0,11.0,1.0,0,Nationals,Away
33.0,8.0,10.0,7.0,5.0,6.0,16.0,9.0,6.0,2.0,2.0,7.0,9.0,0.0,1,Cubs,Home
31.0,2.0,6.0,2.0,7.0,9.0,22.0,8.0,10.0,8.0,8.0,5.0,6.0,1.0,0,Reds,Away
37.0,9.0,13.0,9.0,3.0,5.0,13.0,9.0,9.0,4.0,4.0,3.0,9.0,2.0,1,Rockies,Home
36.0,4.0,9.0,4.0,3.0,9.0,21.0,8.0,13.0,9.0,9.0,3.0,5.0,2.0,0,Mets,Away
32.0,7.0,9.0,7.0,3.0,8.0,20.0,9.0,8.0,5.0,4.0,5.0,8.0,1.0,1,D-backs,Home
33.0,5.0,8.0,4.0,5.0,8.0,9.0,8.0,9.0,7.0,7.0,3.0,8.0,1.0,0,Marlins,Away
36.0,5.0,10.0,5.0,4.0,6.0,20.0,9.0,11.0,6.0,5.0,2.0,15.0,2.0,0,Athletics,Home
37.0,6.0,11.0,6.0,2.0,15.0,20.0,9.0,10.0,5.0,5.0,4.0,6.0,1.0,1,Royals,Away
