AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
39.0,8.0,13.0,8.0,4.0,5.0,13.0,9.0,14.0,13.0,13.0,6.0,9.0,8.0,0,Phillies,Home
40.0,13.0,14.0,13.0,6.0,9.0,10.0,9.0,13.0,8.0,8.0,4.0,5.0,5.0,1,D-backs,Away
38.0,3.0,9.0,3.0,4.0,9.0,13.0,11.0,8.0,4.0,3.0,2.0,15.0,0.0,0,Red,Home
39.0,4.0,8.0,4.0,2.0,15.0,10.0,11.0,9.0,3.0,3.0,4.0,9.0,1.0,1,Rangers,Away
32.0,6.0,8.0,6.0,3.0,9.0,10.0,9.0,4.0,2.0,2.0,3.0,9.0,0.0,1,Rays,Home
31.0,2.0,4.0,2.0,3.0,9.0,14.0,8.0,8.0,6.0,6.0,3.0,9.0,3.0,0,Athletics,Away
31.0,1.0,7.0,1.0,2.0,6.0,13.0,9.0,4.0,4.0,1.0,4.0,8.0,0.0,0,Marlins,Home
29.0,4.0,4.0,2.0,4.0,8.0,9.0,9.0,7.0,1.0,1.0,2.0,6.0,0.0,1,Cardinals,Away
37.0,13.0,13.0,13.0,4.0,10.0,11.0,9.0,10.0,7.0,5.0,3.0,12.0,2.0,1,Braves,Home
38.0,7.0,10.0,7.0,3.0,12.0,16.0,8.0,13.0,13.0,11.0,4.0,10.0,5.0,0,Pirates,Away
29.0,1.0,4.0,1.0,2.0,2.0,6.0,9.0,16.0,12.0,12.0,5.0,5.0,2.0,0,White,Home
40.0,12.0,16.0,12.0,5.0,5.0,17.0,9.0,4.0,1.0,1.0,2.0,2.0,1.0,1,Nationals,Away
33.0,6.0,10.0,6.0,0.0,4.0,11.0,9.0,7.0,5.0,5.0,3.0,12.0,3.0,1,Rockies,Home
34.0,5.0,7.0,4.0,3.0,12.0,11.0,8.0,10.0,6.0,6.0,0.0,4.0,3.0,0,Cubs,Away
33.0,5.0,9.0,3.0,3.0,11.0,20.0,9.0,8.0,3.0,3.0,1.0,7.0,0.0,1,Angels,Home
34.0,3.0,8.0,3.0,1.0,7.0,20.0,8.0,9.0,5.0,4.0,3.0,11.0,2.0,0,Dodgers,Away
