AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
34.0,4.0,8.0,3.0,5.0,4.0,12.0,10.0,12.0,5.0,5.0,1.0,8.0,2.0,0,Nationals,Home
40.0,5.0,12.0,5.0,1.0,8.0,13.0,10.0,8.0,4.0,4.0,5.0,4.0,2.0,1,Braves,Away
32.0,4.0,10.0,4.0,2.0,7.0,13.0,9.0,6.0,1.0,1.0,1.0,8.0,0.0,1,Reds,Home
33.0,1.0,6.0,1.0,1.0,8.0,11.0,8.0,10.0,4.0,4.0,2.0,7.0,2.0,0,Pirates,Away
32.0,7.0,8.0,7.0,3.0,10.0,7.0,9.0,9.0,5.0,4.0,6.0,9.0,1.0,1,Yankees,Home
35.0,5.0,9.0,4.0,6.0,9.0,19.0,8.0,8.0,7.0,7.0,3.0,10.0,2.0,0,D-backs,Away
29.0,1.0,3.0,1.0,2.0,5.0,9.0,9.0,9.0,4.0,4.0,4.0,7.0,2.0,0,Royals,Home
35.0,4.0,9.0,4.0,4.0,7.0,14.0,9.0,3.0,1.0,1.0,2.0,5.0,1.0,1,Blue,Away
31.0,1.0,6.0,1.0,1.0,3.0,6.0,9.0,8.0,5.0,5.0,4.0,16.0,2.0,0,Rockies,Home
35.0,5.0,8.0,5.0,4.0,16.0,16.0,9.0,6.0,1.0,1.0,1.0,3.0,0.0,1,Dodgers,Away
30.0,1.0,5.0,1.0,6.0,10.0,16.0,9.0,9.0,9.0,9.0,5.0,3.0,3.0,0,Angels,Home
35.0,9.0,9.0,9.0,5.0,3.0,13.0,9.0,5.0,1.0,1.0,6.0,10.0,1.0,1,Tigers,Away
31.0,1.0,5.0,1.0,2.0,8.0,11.0,9.0,8.0,5.0,5.0,5.0,12.0,3.0,0,Phillies,Home
33.0,5.0,8.0,5.0,5.0,12.0,18.0,9.0,5.0,1.0,1.0,2.0,8.0,0.0,1,Giants,Away
39.0,5.0,12.0,5.0,1.0,11.0,16.0,9.0,12.0,8.0,8.0,2.0,15.0,3.0,0,Red,Home
39.0,8.0,12.0,8.0,2.0,15.0,14.0,9.0,12.0,5.0,4.0,1.0,11.0,2.0,1,Rays,Away
35.0,10.0,11.0,10.0,3.0,6.0,15.0,9.0,7.0,4.0,4.0,6.0,4.0,1.0,1,Indians,Home
33.0,4.0,7.0,4.0,6.0,4.0,19.0,8.0,11.0,10.0,10.0,3.0,6.0,4.0,0,Astros,Away
33.0,4.0,6.0,4.0,0.0,16.0,6.0,9.0,8.0,7.0,7.0,6.0,7.0,3.0,0,Marlins,Home
33.0,7.0,8.0,7.0,6.0,7.0,12.0,9.0,6.0,4.0,4.0,0.0,16.0,1.0,1,Twins,Away
40.0,9.0,16.0,8.0,3.0,9.0,19.0,9.0,12.0,7.0,7.0,3.0,10.0,2.0,1,Rangers,Home
38.0,7.0,12.0,7.0,3.0,10.0,22.0,8.0,16.0,9.0,8.0,3.0,9.0,2.0,0,Mariners,Away
34.0,2.0,8.0,2.0,3.0,15.0,16.0,9.0,6.0,4.0,1.0,5.0,11.0,0.0,0,White,Home
34.0,4.0,6.0,4.0,5.0,11.0,23.0,9.0,8.0,2.0,2.0,3.0,15.0,1.0,1,Mets,Away
36.0,0.0,9.0,0.0,0.0,10.0,19.0,9.0,8.0,2.0,0.0,2.0,7.0,0.0,0,Cardinals,Home
34.0,2.0,8.0,1.0,2.0,7.0,14.0,9.0,9.0,0.0,0.0,0.0,10.0,0.0,1,Cubs,Away
33.0,2.0,7.0,2.0,3.0,8.0,15.0,9.0,9.0,4.0,4.0,3.0,5.0,1.0,0,Athletics,Home
35.0,4.0,9.0,3.0,3.0,5.0,14.0,9.0,7.0,2.0,2.0,3.0,8.0,0.0,1,Brewers,Away
