AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
37.0,9.0,14.0,9.0,1.0,6.0,18.0,9.0,5.0,2.0,2.0,0.0,10.0,2.0,1,Yankees,Home
32.0,2.0,5.0,2.0,0.0,10.0,6.0,8.0,14.0,9.0,9.0,1.0,6.0,2.0,0,Red,Away
31.0,4.0,9.0,3.0,4.0,7.0,16.0,9.0,8.0,1.0,1.0,1.0,12.0,0.0,1,Cubs,Home
34.0,1.0,8.0,1.0,1.0,12.0,17.0,8.0,9.0,4.0,4.0,4.0,7.0,1.0,0,Brewers,Away
34.0,8.0,11.0,8.0,8.0,4.0,22.0,9.0,9.0,6.0,4.0,2.0,7.0,1.0,1,Rays,Home
32.0,6.0,9.0,6.0,2.0,7.0,12.0,8.0,11.0,8.0,8.0,8.0,4.0,4.0,0,Marlins,Away
31.0,6.0,6.0,6.0,4.0,10.0,13.0,9.0,12.0,4.0,4.0,1.0,11.0,2.0,1,Orioles,Home
35.0,4.0,12.0,4.0,1.0,11.0,16.0,8.0,6.0,6.0,6.0,4.0,10.0,2.0,0,Blue,Away
35.0,5.0,10.0,5.0,5.0,9.0,22.0,9.0,11.0,7.0,4.0,3.0,10.0,2.0,0,Pirates,Home
38.0,7.0,11.0,7.0,3.0,10.0,22.0,9.0,10.0,5.0,5.0,5.0,9.0,1.0,1,Mets,Away
28.0,3.0,4.0,3.0,4.0,7.0,12.0,9.0,5.0,2.0,1.0,2.0,14.0,0.0,1,Phillies,Home
33.0,2.0,5.0,2.0,2.0,14.0,14.0,8.0,4.0,3.0,3.0,4.0,7.0,2.0,0,White,Away
35.0,6.0,13.0,6.0,5.0,7.0,21.0,9.0,8.0,4.0,4.0,8.0,10.0,1.0,1,Yankees,Home
34.0,4.0,8.0,4.0,8.0,10.0,24.0,8.0,13.0,6.0,6.0,5.0,7.0,2.0,0,Red,Away
30.0,7.0,7.0,7.0,2.0,3.0,5.0,9.0,9.0,2.0,1.0,1.0,8.0,0.0,1,Indians,Home
34.0,2.0,9.0,2.0,1.0,8.0,14.0,8.0,7.0,7.0,6.0,2.0,3.0,3.0,0,Angels,Away
40.0,9.0,15.0,9.0,2.0,6.0,23.0,9.0,0.0,0.0,0.0,4.0,8.0,0.0,1,Astros,Home
26.0,0.0,0.0,0.0,4.0,8.0,7.0,8.0,15.0,9.0,7.0,2.0,6.0,1.0,0,Mariners,Away
36.0,11.0,12.0,11.0,2.0,7.0,8.0,9.0,5.0,3.0,2.0,2.0,8.0,1.0,1,Twins,Home
33.0,3.0,5.0,3.0,2.0,8.0,11.0,8.0,12.0,11.0,10.0,2.0,7.0,5.0,0,Royals,Away
35.0,5.0,8.0,4.0,9.0,11.0,23.0,10.0,8.0,4.0,4.0,3.0,7.0,1.0,1,Braves,Home
37.0,4.0,8.0,4.0,3.0,7.0,10.0,9.2,8.0,5.0,5.0,9.0,11.0,0.0,0,Reds,Away
35.0,5.0,8.0,5.0,3.0,12.0,17.0,10.0,8.0,4.0,4.0,6.0,9.0,1.0,1,Rangers,Home
36.0,4.0,8.0,4.0,6.0,9.0,20.0,9.2,8.0,5.0,3.0,3.0,12.0,2.0,0,Tigers,Away
39.0,18.0,15.0,18.0,11.0,11.0,20.0,9.0,11.0,7.0,7.0,3.0,7.0,1.0,1,D-backs,Home
36.0,7.0,11.0,7.0,3.0,7.0,16.0,8.0,15.0,18.0,18.0,11.0,11.0,5.0,0,Nationals,Away
38.0,5.0,12.0,4.0,2.0,8.0,14.0,9.0,14.0,6.0,6.0,5.0,9.0,1.0,0,Rockies,Home
40.0,6.0,14.0,6.0,5.0,9.0,22.0,9.0,12.0,5.0,5.0,2.0,8.0,2.0,1,Giants,Away
32.0,8.0,11.0,7.0,8.0,12.0,24.0,9.0,8.0,3.0,3.0,3.0,10.0,1.0,1,Athletics,Home
34.0,3.0,8.0,3.0,3.0,10.0,14.0,8.0,11.0,8.0,7.0,8.0,12.0,1.0,0,Cardinals,Away
30.0,4.0,7.0,4.0,2.0,5.0,13.0,9.0,5.0,1.0,1.0,0.0,15.0,1.0,1,Dodgers,Home
31.0,1.0,5.0,1.0,0.0,15.0,9.0,8.0,7.0,4.0,2.0,2.0,5.0,1.0,0,Padres,Away
