AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
31.0,0.0,5.0,0.0,1.0,14.0,13.0,9.0,5.0,2.0,2.0,3.0,12.0,1.0,0,Nationals,Home
31.0,2.0,5.0,2.0,3.0,12.0,6.0,9.0,5.0,0.0,0.0,1.0,14.0,0.0,1,Mets,Away
29.0,7.0,9.0,6.0,8.0,8.0,17.0,9.0,8.0,2.0,1.0,1.0,9.0,0.0,1,Yankees,Home
34.0,2.0,8.0,2.0,1.0,9.0,9.0,8.0,9.0,7.0,7.0,8.0,8.0,2.0,0,Orioles,Away
30.0,5.0,7.0,5.0,2.0,5.0,5.0,9.0,5.0,4.0,4.0,2.0,11.0,3.0,1,Brewers,Home
32.0,4.0,5.0,4.0,2.0,11.0,7.0,8.0,7.0,5.0,5.0,2.0,5.0,3.0,0,Cardinals,Away
31.0,10.0,7.0,10.0,6.0,9.0,7.0,9.0,7.0,4.0,4.0,6.0,9.0,1.0,1,Phillies,Home
30.0,4.0,7.0,4.0,6.0,9.0,8.0,8.0,7.0,10.0,10.0,6.0,9.0,3.0,0,Braves,Away
32.0,0.0,2.0,0.0,1.0,7.0,4.0,10.0,4.0,2.0,2.0,4.0,15.0,1.0,0,Blue,Home
32.0,2.0,4.0,2.0,4.0,15.0,13.0,10.0,2.0,0.0,0.0,1.0,7.0,0.0,1,Tigers,Away
31.0,1.0,4.0,1.0,1.0,12.0,15.0,9.0,10.0,5.0,5.0,2.0,8.0,3.0,0,Rays,Home
35.0,5.0,10.0,5.0,2.0,8.0,15.0,9.0,4.0,1.0,1.0,1.0,12.0,1.0,1,Astros,Away
32.0,4.0,6.0,4.0,2.0,6.0,4.0,9.0,13.0,12.0,12.0,8.0,7.0,3.0,0,Rangers,Home
37.0,12.0,13.0,11.0,8.0,7.0,19.0,9.0,6.0,4.0,4.0,2.0,6.0,2.0,1,Cubs,Away
30.0,4.0,7.0,4.0,1.0,4.0,10.0,9.0,3.0,0.0,0.0,4.0,3.0,0.0,1,Athletics,Home
28.0,0.0,3.0,0.0,4.0,3.0,14.0,8.0,7.0,4.0,4.0,1.0,4.0,2.0,0,Angels,Away
31.0,5.0,6.0,5.0,3.0,8.0,10.0,9.0,5.0,3.0,3.0,7.0,11.0,1.0,1,Reds,Home
31.0,3.0,5.0,3.0,7.0,11.0,14.0,8.0,6.0,5.0,5.0,3.0,8.0,2.0,0,Pirates,Away
35.0,12.0,12.0,12.0,3.0,3.0,8.0,9.0,9.0,5.0,5.0,0.0,10.0,2.0,1,Dodgers,Home
33.0,5.0,9.0,5.0,0.0,10.0,6.0,8.0,12.0,12.0,12.0,3.0,3.0,8.0,0,D-backs,Away
27.0,2.0,6.0,2.0,1.0,9.0,7.0,9.0,5.0,0.0,0.0,1.0,5.0,0.0,1,Padres,Home
30.0,0.0,5.0,0.0,1.0,5.0,7.0,8.0,6.0,2.0,2.0,1.0,9.0,1.0,0,Giants,Away
28.0,2.0,4.0,2.0,1.0,6.0,10.0,9.0,2.0,0.0,0.0,1.0,13.0,0.0,1,Twins,Home
29.0,0.0,2.0,0.0,1.0,13.0,5.0,8.0,4.0,2.0,2.0,1.0,6.0,0.0,0,Indians,Away
32.0,3.0,4.0,3.0,1.0,7.0,7.0,9.0,9.0,6.0,5.0,3.0,7.0,1.0,0,Marlins,Home
36.0,6.0,9.0,5.0,3.0,7.0,13.0,9.0,4.0,3.0,3.0,1.0,7.0,3.0,1,Rockies,Away
31.0,5.0,5.0,4.0,3.0,7.0,16.0,9.0,4.0,3.0,3.0,4.0,5.0,0.0,1,Royals,Home
31.0,3.0,4.0,3.0,4.0,5.0,11.0,8.0,5.0,5.0,4.0,3.0,7.0,0.0,0,White,Away
36.0,12.0,12.0,11.0,4.0,9.0,13.0,9.0,11.0,4.0,3.0,1.0,8.0,0.0,1,Mariners,Home
38.0,4.0,11.0,4.0,1.0,8.0,20.0,8.0,12.0,12.0,11.0,4.0,9.0,5.0,0,Red,Away
