AB,R,H,RBI,BB,SO,LOB,IP,H,R,ER,BB,SO,HR,W,Team,Home or Away
33.0,9.0,8.0,7.0,7.0,10.0,12.0,9.0,10.0,7.0,7.0,4.0,10.0,1.0,1,D-backs,Home
35.0,7.0,10.0,6.0,4.0,10.0,16.0,8.0,8.0,9.0,3.0,7.0,10.0,1.0,0,Cardinals,Away
32.0,2.0,5.0,2.0,5.0,9.0,16.0,9.0,11.0,9.0,8.0,6.0,8.0,3.0,0,Reds,Home
37.0,9.0,11.0,9.0,6.0,8.0,24.0,9.0,5.0,2.0,2.0,5.0,9.0,1.0,1,Brewers,Away
31.0,1.0,2.0,1.0,0.0,8.0,5.0,9.0,9.0,5.0,5.0,3.0,11.0,2.0,0,Tigers,Home
35.0,5.0,9.0,5.0,3.0,11.0,11.0,9.0,2.0,1.0,0.0,0.0,8.0,0.0,1,Twins,Away
31.0,5.0,8.0,5.0,1.0,11.0,7.0,9.0,8.0,2.0,2.0,0.0,11.0,1.0,1,Nationals,Home
34.0,2.0,8.0,2.0,0.0,11.0,8.0,8.0,8.0,5.0,4.0,1.0,11.0,2.0,0,Phillies,Away
31.0,4.0,9.0,3.0,3.0,6.0,10.0,9.0,6.0,2.0,2.0,3.0,6.0,1.0,1,Pirates,Home
31.0,2.0,6.0,2.0,3.0,6.0,14.0,8.0,9.0,4.0,4.0,3.0,6.0,0.0,0,Cubs,Away
28.0,3.0,5.0,3.0,4.0,9.0,8.0,9.0,7.0,2.0,2.0,5.0,11.0,0.0,1,Blue,Home
32.0,2.0,7.0,2.0,5.0,11.0,18.0,8.0,5.0,3.0,3.0,4.0,9.0,3.0,0,Orioles,Away
34.0,10.0,12.0,10.0,4.0,10.0,15.0,9.0,4.0,3.0,0.0,2.0,10.0,1.0,1,Mets,Home
31.0,3.0,4.0,3.0,2.0,10.0,8.0,8.0,12.0,10.0,9.0,4.0,10.0,1.0,0,Marlins,Away
32.0,4.0,9.0,4.0,2.0,10.0,16.0,9.0,1.0,0.0,0.0,5.0,16.0,0.0,1,Rays,Home
27.0,0.0,1.0,0.0,5.0,16.0,9.0,8.0,9.0,4.0,4.0,2.0,10.0,2.0,0,Yankees,Away
33.0,3.0,7.0,3.0,1.0,11.0,12.0,9.0,12.0,10.0,9.0,4.0,10.0,3.0,0,Rangers,Home
38.0,10.0,12.0,10.0,4.0,10.0,15.0,9.0,7.0,3.0,3.0,1.0,11.0,0.0,1,Red,Away
38.0,8.0,14.0,6.0,2.0,9.0,18.0,9.0,6.0,3.0,3.0,5.0,10.0,1.0,1,White,Home
32.0,3.0,6.0,2.0,5.0,10.0,13.0,8.0,14.0,8.0,6.0,2.0,9.0,2.0,0,Indians,Away
35.0,2.0,8.0,2.0,0.0,14.0,12.0,9.0,14.0,10.0,10.0,7.0,10.0,0.0,0,Royals,Home
40.0,10.0,14.0,10.0,7.0,10.0,18.0,9.0,8.0,2.0,2.0,0.0,14.0,0.0,1,Braves,Away
31.0,2.0,7.0,2.0,2.0,3.0,15.0,9.0,8.0,1.0,0.0,1.0,11.0,0.0,1,Giants,Home
36.0,1.0,8.0,0.0,1.0,11.0,27.0,8.1,7.0,2.0,2.0,2.0,3.0,1.0,0,Rockies,Away
32.0,2.0,6.0,2.0,3.0,9.0,16.0,9.0,12.0,3.0,3.0,3.0,11.0,2.0,0,Angels,Home
37.0,3.0,12.0,3.0,3.0,11.0,24.0,9.0,6.0,2.0,2.0,3.0,9.0,1.0,1,Athletics,Away
34.0,4.0,7.0,3.0,3.0,14.0,13.0,9.0,10.0,6.0,6.0,2.0,13.0,4.0,0,Padres,Home
34.0,6.0,10.0,6.0,2.0,13.0,15.0,9.0,7.0,4.0,4.0,3.0,14.0,0.0,1,Dodgers,Away
28.0,0.0,2.0,0.0,1.0,10.0,5.0,9.0,7.0,3.0,3.0,0.0,6.0,1.0,0,Mariners,Home
35.0,3.0,7.0,3.0,0.0,6.0,10.0,9.0,2.0,0.0,0.0,1.0,10.0,0.0,1,Astros,Away
